country	year	age	sex	prop_union	prop_childless	prop_school	round	with_child
Albania	2008	15	Male	0.00560772			2000	
Albania	2008	16	Male				2000	
Albania	2008	17	Male	0.003124553			2000	
Albania	2008	18	Male	0.020484675			2000	
Albania	2008	19	Male	0.018503931			2000	
Albania	2008	20	Male	0.026219935			2000	
Albania	2008	21	Male	0.081658337			2000	
Albania	2008	22	Male	0.062550806			2000	
Albania	2008	23	Male	0.128050824			2000	
Albania	2008	24	Male	0.185472857			2000	
Argentina	1970	12	Female	0.095618439	0.992110454	0.896622547	1970	0.007889546
Argentina	1970	12	Male	0.117421681		0.921117872	1970	
Argentina	1970	13	Female	0.066477407	0.995615783	0.801514076	1970	0.004384217
Argentina	1970	13	Male	0.090265082		0.847806216	1970	
Argentina	1970	14	Female	0.059859155	0.989934185	0.662206573	1970	0.010065815
Argentina	1970	14	Male	0.074014296		0.729075398	1970	
Argentina	1970	15	Female	0.064102564	0.9716946	0.54032634	1970	0.0283054
Argentina	1970	15	Male	0.06014863		0.5817464	1970	
Argentina	1970	16	Female	0.08923821	0.93429548	0.463361548	1970	0.06570452
Argentina	1970	16	Male	0.046946108		0.459640719	1970	
Argentina	1970	17	Female	0.121343969	0.886438809	0.390137781	1970	0.113561191
Argentina	1970	17	Male	0.047391096		0.372426999	1970	
Argentina	1970	18	Female	0.165832738	0.830900676	0.30640934	1970	0.169099324
Argentina	1970	18	Male	0.060437006		0.306834031	1970	
Argentina	1970	19	Female	0.229746677	0.757542311	0.23576624	1970	0.242457689
Argentina	1970	19	Male	0.081198647		0.245529241	1970	
Argentina	1970	20	Female	0.302234225	0.69797486	0.188804321	1970	0.30202514
Argentina	1970	20	Male	0.113059967		0.20289168	1970	
Argentina	1970	21	Female	0.402033037	0.619951674	0.137738247	1970	0.380048326
Argentina	1970	21	Male	0.155798905		0.164509706	1970	
Argentina	1970	22	Female	0.448989899	0.554058606	0.118686869	1970	0.445941394
Argentina	1970	22	Male	0.233953367		0.135446686	1970	
Argentina	1970	23	Female	0.5289987	0.496695307	0.092847854	1970	0.503304693
Argentina	1970	23	Male	0.292637216		0.114056225	1970	
Argentina	1970	24	Female	0.592317881	0.439252336	0.075761589	1970	0.560747664
Argentina	1970	24	Male	0.390359432		0.104764558	1970	
Argentina	1980	12	Female			0.939599685	1980	
Argentina	1980	12	Male			0.944451115	1980	
Argentina	1980	13	Female			0.861586623	1980	
Argentina	1980	13	Male			0.886601434	1980	
Argentina	1980	14	Female	0.006275735	0.987983737	0.759579776	1980	0.012016263
Argentina	1980	14	Male	0.004336138		0.777991394	1980	
Argentina	1980	15	Female	0.028915101	0.971442594	0.641747217	1980	0.028557406
Argentina	1980	15	Male	0.008634575		0.63024924	1980	
Argentina	1980	16	Female	0.060559302	0.93962274	0.551968654	1980	0.06037726
Argentina	1980	16	Male	0.008636474		0.505756256	1980	
