country	year	source	age	unionORchildren	unionANDchildren	perc_simult
Argentina	2001	3	14	1094	183	0.167276051
Argentina	2001	3	15	991	163	0.164480323
Argentina	2001	3	16	1080	192	0.177777778
Argentina	2001	3	17	1375	293	0.213090909
Argentina	2001	3	18	1434	368	0.256624826
Argentina	2001	3	19	1552	454	0.292525773
Argentina	2001	3	20	1783	560	0.314077398
Argentina	2001	3	21	1958	696	0.35546476
Argentina	2001	3	22	1983	818	0.412506304
Argentina	2001	3	23	2126	910	0.428033866
Argentina	2001	3	24	2153	998	0.463539248
Armenia	2000	1	12	17.966233	16.598083	0.923848811
Armenia	2000	1	13	30.619903	24.495621	0.799990157
Armenia	2000	1	14	39.830823	35.248852	0.88496419
Armenia	2000	1	15	32.05275	28.208892	0.880077123
Armenia	2000	1	16	29.051787	25.69705	0.884525623
Armenia	2000	1	17	20.625573	18.420901	0.893109782
Armenia	2000	1	18	20.405977	19.037827	0.932953468
Armenia	2000	1	19	21.126808	17.239544	0.81600325
Armenia	2000	1	20	19.136027	14.197207	0.741909854
Armenia	2000	1	21	11.28091	9.869931	0.8749233
Armenia	2000	1	22	11.238266	8.501966	0.756519378
Armenia	2000	1	23	1.36815	1.36815	1
Armenia	2000	1	24	1.70831	1.70831	1
Armenia	2001	3	15	19	2	0.105263158
Armenia	2001	3	16	15	2	0.133333333
Armenia	2001	3	17	24	1	0.041666667
Armenia	2001	3	18	45	4	0.088888889
Armenia	2001	3	19	76	23	0.302631579
Armenia	2001	3	20	87	40	0.459770115
Armenia	2001	3	21	74	37	0.5
Armenia	2001	3	22	56	35	0.625
Armenia	2001	3	23	35	22	0.628571429
Armenia	2001	3	24	32	23	0.71875
Austria	2001	3	16	3	1	0.333333333
Austria	2001	3	18	32	3	0.09375
Austria	2001	3	19	65	7	0.107692308
Austria	2001	3	20	62	5	0.080645161
Austria	2001	3	21	94	11	0.117021277
Austria	2001	3	22	91	11	0.120879121
Austria	2001	3	23	103	17	0.165048544
Austria	2001	3	24	111	20	0.18018018
Bangladesh	2004	1	15	7.727498	2.360091	0.305414637
Bangladesh	2004	1	19	15.366717	5.376833	0.349901218
Bangladesh	2004	1	20	17.206872	7.018379	0.407882327
Bangladesh	2004	1	21	5.731666	3.017218	0.526412041
Bangladesh	2004	1	22	4.409887	1.114513	0.252730512
Bangladesh	2004	1	23	7.311059	2.265706	0.309901206
Bangladesh	2004	1	24	8.101886	5.365719	0.662280239
Bangladesh	2007	1	18	17.105437	2.879941	0.16836407
Bangladesh	2007	1	19	6.893582	1.309194	0.189914909
Bangladesh	2007	1	20	16.616335	6.313401	0.379951475
Bangladesh	2007	1	21	9.482163	6.73277	0.710045799
Bangladesh	2007	1	22	14.79129	8.109526	0.548263606
Bangladesh	2007	1	23	7.909841	3.994548	0.505009898
Bangladesh	2007	1	24	11.303122	7.129855	0.630786344
Benin	2006	1	16	7.571406	1.448846	0.191357589
Benin	2006	1	17	6.080788	3.431709	0.564352679
Benin	2006	1	18	6.919128	4.58462	0.662600836
Benin	2006	1	19	11.082285	4.94172	0.445911651
Benin	2006	1	20	11.40406	3.142431	0.275553706
Benin	2006	1	21	6.400417	2.100708	0.32821424
Benin	2006	1	22	10.136715	5.398928	0.532611206
Benin	2006	1	23	14.653752	10.407669	0.710239193
Benin	2006	1	24	4.628506	1.920694	0.414970619
Bolivia	2001	3	15	96	8	0.083333333
Bolivia	2001	3	16	147	34	0.231292517
Bolivia	2001	3	17	265	79	0.298113208
Bolivia	2001	3	18	361	163	0.451523546
Bolivia	2001	3	19	351	162	0.461538462
Bolivia	2001	3	20	410	213	0.519512195
Bolivia	2001	3	21	381	237	0.622047244
Bolivia	2001	3	22	340	230	0.676470588
Bolivia	2001	3	23	365	268	0.734246575
Bolivia	2001	3	24	348	262	0.752873563
Bolivia	2003	1	17	18.714327	7.221225	0.385866133
Bolivia	2003	1	18	21.619319	7.131757	0.329878892
Bolivia	2003	1	19	25.850092	9.813431	0.379628475
Bolivia	2003	1	20	37.345135	22.423337	0.600435291
Bolivia	2003	1	21	32.965891	19.286738	0.585051319
Bolivia	2003	1	22	43.056919	22.476211	0.522011596
Bolivia	2003	1	23	36.442599	20.150784	0.552945853
Bolivia	2003	1	24	23.346935	13.093455	0.560821153
Bolivia	2008	1	15	11.494449	3.350152	0.291458251
Bolivia	2008	1	16	15.140456	2.829212	0.186864385
Bolivia	2008	1	17	30.068677	7.796731	0.259297441
Bolivia	2008	1	18	37.014606	17.741144	0.479301171
Bolivia	2008	1	19	37.177057	12.301503	0.33088964
Bolivia	2008	1	20	40.578908	11.973713	0.295072332
Bolivia	2008	1	21	39.877641	22.717793	0.569687485
Bolivia	2008	1	22	44.403022	19.701438	0.443695882
Bolivia	2008	1	23	35.988129	26.275032	0.730102751
Bolivia	2008	1	24	21.03676	12.247878	0.582213135
Brazil	2000	3	12	170.6105152	15.36839737	0.09007884
Brazil	2000	3	13	267.6475059	19.58571046	0.073177258
Brazil	2000	3	14	772.0636937	85.22469479	0.110385575
Brazil	2000	3	15	1821.623247	293.3673272	0.161047202
Brazil	2000	3	16	3405.857778	772.6025693	0.226845224
Brazil	2000	3	17	5655.157869	1543.355178	0.272911069
Brazil	2000	3	18	7078.445839	2305.642726	0.325727254
Brazil	2000	3	19	7117.870287	2581.108404	0.362623692
Brazil	2000	3	20	7552.702301	3121.410841	0.413283977
Brazil	2000	3	21	7389.922489	3310.432043	0.447965733
Brazil	2000	3	22	7592.850023	3708.866383	0.488468279
Brazil	2000	3	23	7292.723776	3825.009885	0.524496745
Brazil	2000	3	24	6851.902068	3792.217247	0.553454677
Burkina Faso	2003	1	17	1.561515	0.860802	0.551260795
Burkina Faso	2003	1	19	2.678152	0.833138	0.311086899
Burkina Faso	2003	1	20	3.520502	2.077514	0.590118682
Burkina Faso	2003	1	22	1.204208	0.144988	0.120401127
Burkina Faso	2003	1	24	1.299533	0.148705	0.114429568
Cambodia	2000	1	20	2.759361	1.16691	0.422891387
Cambodia	2000	1	23	2.603714	2.603714	1
Cambodia	2000	1	24	0.455272	0.455272	1
Cameroon	2004	1	16	15.52053	1.78704	0.115140398
Cameroon	2004	1	17	30.15547	5.09808	0.169059875
Cameroon	2004	1	18	58.35399	8.18222	0.140216976
Cameroon	2004	1	19	51.95342	13.02008	0.250610643
Cameroon	2004	1	20	33.31501	4.43782	0.133207824
Cameroon	2004	1	21	21.77178	5.50004	0.252622431
Cameroon	2004	1	22	25.00019	6.05883	0.242351358
Cameroon	2004	1	23	19.3967	5.28048	0.272235999
Cameroon	2004	1	24	15.31363	1.61039	0.105160566
Chad	2004	1	16	6.531251	3.249751	0.497569455
Chad	2004	1	17	9.614621	4.400839	0.457723607
Chad	2004	1	18	13.035405	9.154539	0.702282668
Chad	2004	1	19	10.416063	4.998008	0.479836575
Chad	2004	1	20	8.804521	8.060139	0.915454572
Chad	2004	1	21	5.794924	3.51705	0.60691909
Chad	2004	1	22	6.075894	5.072971	0.834934085
Chad	2004	1	23	5.546716	5.09574	0.918694954
Chad	2004	1	24	2.85042	2.536036	0.889706078
Chile	2002	3	15	196	19	0.096938776
Chile	2002	3	16	289	23	0.079584775
Chile	2002	3	17	434	42	0.096774194
Chile	2002	3	18	550	90	0.163636364
Chile	2002	3	19	507	103	0.203155819
Chile	2002	3	20	568	89	0.156690141
Chile	2002	3	21	498	130	0.261044177
Chile	2002	3	22	529	160	0.302457467
Chile	2002	3	23	469	150	0.319829424
Chile	2002	3	24	443	166	0.374717833
Colombia	2000	1	12	2.305637	2.305637	1
Colombia	2000	1	13	3.788423	1.033889	0.272907487
Colombia	2000	1	14	5.63278	5.63278	1
Colombia	2000	1	16	7.483734	5.148336	0.687936797
Colombia	2000	1	17	20.461695	7.476471	0.365388644
Colombia	2000	1	18	17.82706	10.517074	0.589949997
Colombia	2000	1	19	18.924669	7.166284	0.378674206
Colombia	2000	1	20	26.206122	14.042568	0.535850669
Colombia	2000	1	21	18.330523	11.615846	0.633688739
Colombia	2000	1	22	18.483764	7.346739	0.397469855
Colombia	2000	1	23	16.332124	11.039617	0.675944966
Colombia	2000	1	24	27.882226	17.510035	0.627999895
Colombia	2005	3	12	50.04889238	2.890550671	0.057754538
Colombia	2005	3	13	305.151099	4.999951502	0.016385166
Colombia	2005	3	14	417.5181702	14.53076958	0.034802724
Colombia	2005	3	15	697.8640585	58.31762513	0.083565881
Colombia	2005	3	16	1035.59829	174.4057743	0.168410643
Colombia	2005	3	17	1544.117948	418.4030125	0.270965708
Colombia	2005	3	18	1708.75293	481.6652865	0.281881177
Colombia	2005	3	19	1834.372885	637.0578144	0.347289158
Colombia	2005	3	20	2097.715185	835.2002733	0.398147603
Colombia	2005	3	21	2313.801377	1020.674477	0.441124501
Colombia	2005	3	22	2135.339746	978.1467438	0.458075463
Colombia	2005	3	23	2567.693838	1254.719214	0.488656083
Colombia	2005	3	24	2433.403219	1283.207976	0.527330599
Congo (Brazzaville)	2005	1	12	34.502262	25.706874	0.745077931
Congo (Brazzaville)	2005	1	13	41.930192	35.102298	0.83716044
Congo (Brazzaville)	2005	1	14	33.243075	26.637119	0.801283245
Congo (Brazzaville)	2005	1	15	48.001047	31.986305	0.666366819
Congo (Brazzaville)	2005	1	16	48.589813	27.603829	0.568099099
Congo (Brazzaville)	2005	1	17	57.274947	36.57196	0.638533284
Congo (Brazzaville)	2005	1	18	56.035538	29.265896	0.522273847
Congo (Brazzaville)	2005	1	19	70.625273	38.212757	0.541063494
Congo (Brazzaville)	2005	1	20	50.106926	27.556758	0.549959062
Congo (Brazzaville)	2005	1	21	57.341632	38.981575	0.679812793
Congo (Brazzaville)	2005	1	22	75.304338	52.44375	0.696424023
Congo (Brazzaville)	2005	1	23	35.097028	21.629979	0.616290901
Congo (Brazzaville)	2005	1	24	27.876895	17.374357	0.623252948
Costa Rica	2000	3	14	21	1	0.047619048
Costa Rica	2000	3	15	46	12	0.260869565
Costa Rica	2000	3	16	70	19	0.271428571
Costa Rica	2000	3	17	101	26	0.257425743
Costa Rica	2000	3	18	142	54	0.38028169
Costa Rica	2000	3	19	204	86	0.421568627
Costa Rica	2000	3	20	262	110	0.419847328
Costa Rica	2000	3	21	307	145	0.472312704
Costa Rica	2000	3	22	323	175	0.541795666
Costa Rica	2000	3	23	336	188	0.55952381
Costa Rica	2000	3	24	309	175	0.566343042
Dominican Republic	2002	1	15	56.413024	13.476722	0.238893806
Dominican Republic	2002	1	16	90.532407	21.658078	0.239230113
Dominican Republic	2002	1	17	159.750072	66.422938	0.415792852
Dominican Republic	2002	1	18	164.531544	83.296947	0.506267339
Dominican Republic	2002	1	19	183.535384	104.721078	0.57057705
Dominican Republic	2002	1	20	165.581818	116.630556	0.704368133
Dominican Republic	2002	1	21	165.047572	107.595695	0.651907166
