country	year	age	sex	prop_childless_att	prop_school
Argentina	1970	12	Female	0.997385621	0.896622547
Argentina	1970	13	Female	0.99851632	0.801514076
Argentina	1970	14	Female	0.998855835	0.662206573
Argentina	1970	15	Female	0.997237569	0.54032634
Argentina	1970	16	Female	0.993453355	0.463361548
Argentina	1970	17	Female	0.984052533	0.390137781
Argentina	1970	18	Female	0.979318735	0.30640934
Argentina	1970	19	Female	0.972402597	0.23576624
Argentina	1970	20	Female	0.962151394	0.188804321
Argentina	1970	21	Female	0.944903581	0.137738247
Argentina	1970	22	Female	0.903030303	0.118686869
Argentina	1970	23	Female	0.841698842	0.092847854
Argentina	1970	24	Female	0.780487805	0.075761589
Argentina	1980	12	Female		0.939599685
Argentina	1980	13	Female		0.861586623
Argentina	1980	14	Female	0.9926016	0.759579776
Argentina	1980	15	Female	0.989850545	0.641747217
Argentina	1980	16	Female	0.988770927	0.551968654
Argentina	1980	17	Female	0.983190908	0.479361808
Argentina	1980	18	Female	0.972374193	0.349106114
Argentina	1980	19	Female	0.960258634	0.280384163
Argentina	1980	20	Female	0.941210755	0.224165563
Argentina	1980	21	Female	0.926098242	0.188056622
Argentina	1980	22	Female	0.880833816	0.154659025
Argentina	1980	23	Female	0.827546217	0.126629407
Argentina	1980	24	Female	0.760878406	0.110410661
Argentina	1991	12	Female		0.961921289
Argentina	1991	13	Female		0.885672177
Argentina	1991	14	Female	0.994093601	0.795549101
Argentina	1991	15	Female	0.993034056	0.717607845
Argentina	1991	16	Female	0.987848183	0.640062687
Argentina	1991	17	Female	0.982668588	0.577961844
Argentina	1991	18	Female	0.969589861	0.463283323
Argentina	1991	19	Female	0.957577723	0.405219435
Argentina	1991	20	Female	0.93843605	0.340515809
Argentina	1991	21	Female	0.917561151	0.29687241
Argentina	1991	22	Female	0.895141404	0.242830964
Argentina	1991	23	Female	0.859049607	0.188570703
Argentina	1991	24	Female	0.814920258	0.16216759
Argentina	2001	12	Female		0.978985089
Argentina	2001	13	Female		0.959880004
Argentina	2001	14	Female	0.976555102	0.929100176
Argentina	2001	15	Female	0.977481874	0.876879814
Argentina	2001	16	Female	0.971511309	0.812837967
Argentina	2001	17	Female	0.958814192	0.751248912
Argentina	2001	18	Female	0.942954656	0.606505668
Argentina	2001	19	Female	0.925757187	0.484757994
Argentina	2001	20	Female	0.901842257	0.430857001
Argentina	2001	21	Female	0.88533879	0.380323845
Argentina	2001	22	Female	0.863370998	0.329373818
Argentina	2001	23	Female	0.841101468	0.291001497
Argentina	2001	24	Female	0.804384706	0.250244922
Armenia	2000	12	Female	0.619375401	0.98685974
