country	year	age	sex	prop_childless_att	prop_childless
Argentina	1970	12	Female	0.997385621	0.992110454
Argentina	1970	13	Female	0.99851632	0.995615783
Argentina	1970	14	Female	0.998855835	0.989934185
Argentina	1970	15	Female	0.997237569	0.9716946
Argentina	1970	16	Female	0.993453355	0.93429548
Argentina	1970	17	Female	0.984052533	0.886438809
Argentina	1970	18	Female	0.979318735	0.830900676
Argentina	1970	19	Female	0.972402597	0.757542311
Argentina	1970	20	Female	0.962151394	0.69797486
Argentina	1970	21	Female	0.944903581	0.619951674
Argentina	1970	22	Female	0.903030303	0.554058606
Argentina	1970	23	Female	0.841698842	0.496695307
Argentina	1970	24	Female	0.780487805	0.439252336
Argentina	1980	14	Female	0.9926016	0.987983737
Argentina	1980	15	Female	0.989850545	0.971442594
Argentina	1980	16	Female	0.988770927	0.93962274
Argentina	1980	17	Female	0.983190908	0.889237058
Argentina	1980	18	Female	0.972374193	0.829361461
Argentina	1980	19	Female	0.960258634	0.773835528
Argentina	1980	20	Female	0.941210755	0.691929134
Argentina	1980	21	Female	0.926098242	0.634533381
Argentina	1980	22	Female	0.880833816	0.559306855
Argentina	1980	23	Female	0.827546217	0.492791306
Argentina	1980	24	Female	0.760878406	0.439954381
Argentina	1991	14	Female	0.994093601	0.981878983
Argentina	1991	15	Female	0.993034056	0.967494954
Argentina	1991	16	Female	0.987848183	0.933425816
Argentina	1991	17	Female	0.982668588	0.887958859
Argentina	1991	18	Female	0.969589861	0.825075864
Argentina	1991	19	Female	0.957577723	0.769511032
Argentina	1991	20	Female	0.93843605	0.697367929
Argentina	1991	21	Female	0.917561151	0.640906255
Argentina	1991	22	Female	0.895141404	0.576899091
Argentina	1991	23	Female	0.859049607	0.519750247
Argentina	1991	24	Female	0.814920258	0.464532957
Argentina	2001	14	Female	0.976555102	0.972149748
Argentina	2001	15	Female	0.977481874	0.963320699
Argentina	2001	16	Female	0.971511309	0.932470259
Argentina	2001	17	Female	0.958814192	0.887742934
Argentina	2001	18	Female	0.942954656	0.827139806
Argentina	2001	19	Female	0.925757187	0.761789225
Argentina	2001	20	Female	0.901842257	0.694313531
Argentina	2001	21	Female	0.88533879	0.636077938
Argentina	2001	22	Female	0.863370998	0.586545917
Argentina	2001	23	Female	0.841101468	0.529620853
Argentina	2001	24	Female	0.804384706	0.491215466
Armenia	2000	12	Female	0.619375401	0.619375401
Armenia	2000	13	Female	0.572705168	0.567011945
Armenia	2000	14	Female	0.450653726	0.460930083
Armenia	2000	15	Female	0.903490085	0.907187678
Armenia	2000	16	Female	0.90010683	0.889633309
Armenia	2000	17	Female	0.883388723	0.858264315
Armenia	2000	18	Female	0.863324962	0.835722048
Armenia	2000	19	Female	0.855394071	0.748403053
Armenia	2000	20	Female	0.820160102	0.674087286
Armenia	2000	21	Female	0.751935314	0.650622027
Armenia	2000	22	Female	0.658292591	0.492499339
Armenia	2000	23	Female	0.869086427	0.440141603
Armenia	2000	24	Female	0.881925321	0.389412888
Armenia	2001	15	Female	0.998081841	0.996991576
Armenia	2001	16	Female	0.997358491	0.992390986
Armenia	2001	17	Female	0.995475113	0.980907668
Armenia	2001	18	Female	0.993793103	0.95134443
Armenia	2001	19	Female	0.979658259	0.896116505
Armenia	2001	20	Female	0.952819333	0.81270903
Armenia	2001	21	Female	0.92202729	0.71007807
Armenia	2001	22	Female	0.872852234	0.611439114
Armenia	2001	23	Female	0.841772152	0.507602339
Armenia	2001	24	Female	0.777777778	0.424489796
Austria	1981	15	Female		
Austria	1981	16	Female	0.998429648	0.990774908
Austria	1981	17	Female	0.997514499	0.977372035
Austria	1981	18	Female	0.992623815	0.941952902
Austria	1981	19	Female	0.990720914	0.885642868
Austria	1981	20	Female	0.979083665	0.802005411
Austria	1981	21	Female	0.962365591	0.725816784
Austria	1981	22	Female	0.947663551	0.653421634
Austria	1981	23	Female	0.931415929	0.564491131
Austria	1981	24	Female	0.886363636	0.505594406
Austria	1991	15	Female	0.999205087	0.998650472
Austria	1991	16	Female	0.999627422	0.995929734
Austria	1991	17	Female	0.995185996	0.978980229
Austria	1991	18	Female	0.997901364	0.956065704
Austria	1991	19	Female	0.990654206	0.926572803
Austria	1991	20	Female	0.986277873	0.875683995
Austria	1991	21	Female	0.979846449	0.818270008
Austria	1991	22	Female	0.962962963	0.752183908
Austria	1991	23	Female	0.94952251	0.67958849
Austria	1991	24	Female	0.917460317	0.615680473
Austria	2001	15	Female		
Austria	2001	16	Female	0.999388192	0.997636442
Austria	2001	17	Female	0.996585865	0.986122792
Austria	2001	18	Female	0.993655829	0.969035744
Austria	2001	19	Female	0.987215909	0.949022768
Austria	2001	20	Female	0.98597833	0.915469498
Austria	2001	21	Female	0.972477064	0.866085401
Austria	2001	22	Female	0.96641791	0.819142056
Austria	2001	23	Female	0.954189944	0.775749674
Austria	2001	24	Female	0.942359249	0.719402985
Bangladesh	1993	12	Female	0.270848106	0.322354854
Bangladesh	1993	13	Female	0.268305987	0.688091782
Bangladesh	1993	14	Female	0.535867868	0.822214255
Bangladesh	1993	15	Female	0.637717181	0.667375723
Bangladesh	1993	16	Female	0.626268814	0.538718837
Bangladesh	1993	17	Female	0.467040769	0.383978135
Bangladesh	1993	18	Female	0.79621576	0.330009299
Bangladesh	1993	19	Female	0.752042702	0.241632816
Bangladesh	1993	20	Female	0.309442343	0.165787232
Bangladesh	1993	21	Female	0.211876994	0.083825145
Bangladesh	1993	22	Female	0.581026838	0.137942794
Bangladesh	1993	23	Female	0.082453845	0.097348207
Bangladesh	1993	24	Female	0.585546139	0.071050668
Bangladesh	1996	12	Female	0.330903019	0.40690818
Bangladesh	1996	13	Female	0.428783214	0.788792602
Bangladesh	1996	14	Female	0.449672965	0.668519947
Bangladesh	1996	15	Female	0.422260993	0.615256221
Bangladesh	1996	16	Female	0.512853303	0.412253708
Bangladesh	1996	17	Female	0.676245831	0.362945264
Bangladesh	1996	18	Female	0.563069713	0.275279691
Bangladesh	1996	19	Female	0.688241987	0.225852848
Bangladesh	1996	20	Female	0.181822994	0.217019883
Bangladesh	1996	21	Female	0.182641515	0.10352347
Bangladesh	1996	22	Female	0.159417873	0.0892784
Bangladesh	1996	23	Female	0.321221512	0.093619627
Bangladesh	1996	24	Female	0.380112613	0.114022306
