country	year	age	sex	prop_union	prop_union_att
Albania	2008	15	Male	0.00560772	
Albania	2008	16	Male		
Albania	2008	17	Male	0.003124553	
Albania	2008	18	Male	0.020484675	
Albania	2008	19	Male	0.018503931	
Albania	2008	20	Male	0.026219935	
Albania	2008	21	Male	0.081658337	
Albania	2008	22	Male	0.062550806	
Albania	2008	23	Male	0.128050824	
Albania	2008	24	Male	0.185472857	
Argentina	1970	12	Female	0.095618439	0.089590227
Argentina	1970	12	Male	0.117421681	0.116956203
Argentina	1970	13	Female	0.066477407	0.06227863
Argentina	1970	13	Male	0.090265082	0.09245283
Argentina	1970	14	Female	0.059859155	0.047500886
Argentina	1970	14	Male	0.074014296	0.072422517
Argentina	1970	15	Female	0.064102564	0.038395168
Argentina	1970	15	Male	0.06014863	0.055489022
Argentina	1970	16	Female	0.08923821	0.034446764
Argentina	1970	16	Male	0.046946108	0.038040646
Argentina	1970	17	Female	0.121343969	0.043370508
Argentina	1970	17	Male	0.047391096	0.041773779
Argentina	1970	18	Female	0.165832738	0.048211509
Argentina	1970	18	Male	0.060437006	0.04469697
Argentina	1970	19	Female	0.229746677	0.04787234
Argentina	1970	19	Male	0.081198647	0.044291339
Argentina	1970	20	Female	0.302234225	0.088426528
Argentina	1970	20	Male	0.113059967	0.043224299
Argentina	1970	21	Female	0.402033037	0.097785978
Argentina	1970	21	Male	0.155798905	0.051437216
Argentina	1970	22	Female	0.448989899	0.136170213
Argentina	1970	22	Male	0.233953367	0.087040619
Argentina	1970	23	Female	0.5289987	0.221288515
Argentina	1970	23	Male	0.292637216	0.096244131
Argentina	1970	24	Female	0.592317881	0.283216783
Argentina	1970	24	Male	0.390359432	0.196808511
Argentina	1980	12	Female		
Argentina	1980	12	Male		
Argentina	1980	13	Female		
Argentina	1980	13	Male		
Argentina	1980	14	Female	0.006275735	0.002477498
Argentina	1980	14	Male	0.004336138	0.003530242
Argentina	1980	15	Female	0.028915101	0.006753341
Argentina	1980	15	Male	0.008634575	0.006573487
Argentina	1980	16	Female	0.060559302	0.009407293
Argentina	1980	16	Male	0.008636474	0.007356223
Argentina	1980	17	Female	0.111430188	0.014747599
Argentina	1980	17	Male	0.016446555	0.010956603
Argentina	1980	18	Female	0.172040883	0.025161418
Argentina	1980	18	Male	0.033355871	0.012407012
Argentina	1980	19	Female	0.239562422	0.043242391
Argentina	1980	19	Male	0.058122247	0.020940796
Argentina	1980	20	Female	0.331248693	0.083152005
Argentina	1980	20	Male	0.105487155	0.037189712
Argentina	1980	21	Female	0.403181094	0.115382732
Argentina	1980	21	Male	0.159613375	0.052843825
Argentina	1980	22	Female	0.484932611	0.168905617
Argentina	1980	22	Male	0.249607678	0.095270044
Argentina	1980	23	Female	0.565232415	0.239989085
Argentina	1980	23	Male	0.343486799	0.127601703
Argentina	1980	24	Female	0.626669181	0.336478243
Argentina	1980	24	Male	0.426169287	0.21106907
Argentina	1991	12	Female	2.97653E-06	3.09436E-06
Argentina	1991	12	Male	1.46279E-05	
Argentina	1991	13	Female	9.72408E-05	7.54828E-05
Argentina	1991	13	Male	2.99863E-05	3.37059E-05
Argentina	1991	14	Female	0.026712132	0.007494069
Argentina	1991	14	Male	0.005983216	0.003422464
Argentina	1991	15	Female	0.040704972	0.00787784
Argentina	1991	15	Male	0.00626007	0.002966654
Argentina	1991	16	Female	0.070769817	0.009929574
Argentina	1991	16	Male	0.009238618	0.003632692
Argentina	1991	17	Female	0.115139653	0.014954973
Argentina	1991	17	Male	0.016569647	0.004394806
Argentina	1991	18	Female	0.179767008	0.02489398
Argentina	1991	18	Male	0.040229801	0.007497932
Argentina	1991	19	Female	0.240764446	0.041641191
Argentina	1991	19	Male	0.07436966	0.016084607
Argentina	1991	20	Female	0.316544344	0.072086697
Argentina	1991	20	Male	0.121668949	0.026095626
Argentina	1991	21	Female	0.383346885	0.102745463
Argentina	1991	21	Male	0.188167235	0.039169897
Argentina	1991	22	Female	0.457571855	0.136719016
Argentina	1991	22	Male	0.251388169	0.069683206
Argentina	1991	23	Female	0.533875283	0.208682804
Argentina	1991	23	Male	0.331616528	0.109117678
Argentina	1991	24	Female	0.596095673	0.262600448
Argentina	1991	24	Male	0.408847009	0.149416794
Argentina	2001	12	Female	0.000303684	3.10203E-05
Argentina	2001	12	Male	0.000412056	0.000332356
Argentina	2001	13	Female	0.001242387	0.000284118
Argentina	2001	13	Male	0.000352661	0.000216343
Argentina	2001	14	Female	0.023451247	0.018253061
Argentina	2001	14	Male	0.018927816	0.01714009
Argentina	2001	15	Female	0.033103069	0.017707752
Argentina	2001	15	Male	0.017734434	0.015014588
Argentina	2001	16	Female	0.058782365	0.021288252
Argentina	2001	16	Male	0.020143796	0.01515517
Argentina	2001	17	Female	0.09404712	0.030374533
Argentina	2001	17	Male	0.028272251	0.016929205
Argentina	2001	18	Female	0.143584689	0.040576413
Argentina	2001	18	Male	0.048879065	0.020378293
Argentina	2001	19	Female	0.200665671	0.054478953
Argentina	2001	19	Male	0.078198466	0.025325461
Argentina	2001	20	Female	0.258960685	0.070451929
Argentina	2001	20	Male	0.124284167	0.036895564
Argentina	2001	21	Female	0.315913921	0.094200047
Argentina	2001	21	Male	0.178556366	0.05044222
Argentina	2001	22	Female	0.378283658	0.127118644
Argentina	2001	22	Male	0.234739484	0.063205418
Argentina	2001	23	Female	0.43545772	0.1663988
Argentina	2001	23	Male	0.2965947	0.085976409
