country	year	age	sex	school	prop_union2	prop_child2	round	childless2
Argentina	1970	12	Female	0	0.14790287	0.058333333	1970	0.941666667
Argentina	1970	12	Female	1	0.089590227	0.002614379	1970	0.997385621
Argentina	1970	12	Male	0	0.122857143		1970	
Argentina	1970	12	Male	1	0.116956203		1970	
Argentina	1970	13	Female	0	0.083432658	0.016427105	1970	0.983572895
Argentina	1970	13	Female	1	0.06227863	0.00148368	1970	0.99851632
Argentina	1970	13	Male	0	0.078078078		1970	
Argentina	1970	13	Male	1	0.09245283		1970	
Argentina	1970	14	Female	0	0.084086171	0.028742515	1970	0.971257485
Argentina	1970	14	Female	1	0.047500886	0.001144165	1970	0.998855835
Argentina	1970	14	Male	0	0.078297872		1970	
Argentina	1970	14	Male	1	0.072422517		1970	
Argentina	1970	15	Female	0	0.094320487	0.058205335	1970	0.941794665
Argentina	1970	15	Female	1	0.038395168	0.002762431	1970	0.997237569
Argentina	1970	15	Male	0	0.06662965		1970	
Argentina	1970	15	Male	1	0.055489022		1970	
Argentina	1970	16	Female	0	0.136547995	0.116938342	1970	0.883061658
Argentina	1970	16	Female	1	0.034446764	0.006546645	1970	0.993453355
Argentina	1970	16	Male	0	0.054521277		1970	
Argentina	1970	16	Male	1	0.038040646		1970	
Argentina	1970	17	Female	0	0.171224732	0.176435045	1970	0.823564955
Argentina	1970	17	Female	1	0.043370508	0.015947467	1970	0.984052533
Argentina	1970	17	Male	0	0.050724638		1970	
Argentina	1970	17	Male	1	0.041773779		1970	
Argentina	1970	18	Female	0	0.217794572	0.230498239	1970	0.769501761
Argentina	1970	18	Female	1	0.048211509	0.020681265	1970	0.979318735
Argentina	1970	18	Male	0	0.067404427		1970	
Argentina	1970	18	Male	1	0.04469697		1970	
Argentina	1970	19	Female	0	0.285854939	0.305423406	1970	0.694576594
Argentina	1970	19	Female	1	0.04787234	0.027597403	1970	0.972402597
Argentina	1970	19	Male	0	0.093209481		1970	
Argentina	1970	19	Male	1	0.044291339		1970	
Argentina	1970	20	Female	0	0.351997579	0.358171041	1970	0.641828959
Argentina	1970	20	Female	1	0.088426528	0.037848606	1970	0.962151394
Argentina	1970	20	Male	0	0.130835563		1970	
Argentina	1970	20	Male	1	0.043224299		1970	
Argentina	1970	21	Female	0	0.450633658	0.426598264	1970	0.573401736
Argentina	1970	21	Female	1	0.097785978	0.055096419	1970	0.944903581
Argentina	1970	21	Male	0	0.17634793		1970	
Argentina	1970	21	Male	1	0.051437216		1970	
Argentina	1970	22	Female	0	0.491117479	0.489579386	1970	0.510420614
Argentina	1970	22	Female	1	0.136170213	0.096969697	1970	0.903030303
Argentina	1970	22	Male	0	0.256969697		1970	
Argentina	1970	22	Male	1	0.087040619		1970	
Argentina	1970	23	Female	0	0.560493119	0.535598121	1970	0.464401879
Argentina	1970	23	Female	1	0.221288515	0.158301158	1970	0.841698842
Argentina	1970	23	Male	0	0.317920822		1970	
Argentina	1970	23	Male	1	0.096244131		1970	
Argentina	1970	24	Female	0	0.617655489	0.585811537	1970	0.414188463
Argentina	1970	24	Female	1	0.283216783	0.219512195	1970	0.780487805
Argentina	1970	24	Male	0	0.413009648		1970	
Argentina	1970	24	Male	1	0.196808511		1970	
Argentina	1980	12	Female	0	0		1980	
Argentina	1980	12	Female	1	0		1980	
Argentina	1980	12	Male	0	0		1980	
Argentina	1980	12	Male	1	0		1980	
Argentina	1980	13	Female	0	0		1980	
Argentina	1980	13	Female	1	0		1980	
Argentina	1980	13	Male	0	0		1980	
Argentina	1980	13	Male	1	0		1980	
Argentina	1980	14	Female	0	0.018275825	0.026605867	1980	0.973394133
Argentina	1980	14	Female	1	0.002477498	0.0073984	1980	0.9926016
Argentina	1980	14	Male	0	0.007160262		1980	
Argentina	1980	14	Male	1	0.003530242		1980	
Argentina	1980	15	Female	0	0.06861402	0.061532031	1980	0.938467969
Argentina	1980	15	Female	1	0.006753341	0.010149455	1980	0.989850545
Argentina	1980	15	Male	0	0.012147749		1980	
Argentina	1980	15	Male	1	0.006573487		1980	
Argentina	1980	16	Female	0	0.123577896	0.120927173	1980	0.879072827
Argentina	1980	16	Female	1	0.009407293	0.011229073	1980	0.988770927
Argentina	1980	16	Male	0	0.009946546		1980	
Argentina	1980	16	Male	1	0.007356223		1980	
Argentina	1980	17	Female	0	0.200447747	0.197268096	1980	0.802731904
Argentina	1980	17	Female	1	0.014747599	0.016809092	1980	0.983190908
Argentina	1980	17	Male	0	0.020699986		1980	
Argentina	1980	17	Male	1	0.010956603		1980	
Argentina	1980	18	Female	0	0.250819499	0.247343238	1980	0.752656762
Argentina	1980	18	Female	1	0.025161418	0.027625807	1980	0.972374193
Argentina	1980	18	Male	0	0.043255934		1980	
Argentina	1980	18	Male	1	0.012407012		1980	
Argentina	1980	19	Female	0	0.316054663	0.29880057	1980	0.70119943
Argentina	1980	19	Female	1	0.043242391	0.039741366	1980	0.960258634
Argentina	1980	19	Male	0	0.069857006		1980	
Argentina	1980	19	Male	1	0.020940796		1980	
Argentina	1980	20	Female	0	0.402932459	0.380097	1980	0.619903
Argentina	1980	20	Female	1	0.083152005	0.058789245	1980	0.941210755
Argentina	1980	20	Male	0	0.122925032		1980	
Argentina	1980	20	Male	1	0.037189712		1980	
Argentina	1980	21	Female	0	0.469838929	0.432996824	1980	0.567003176
Argentina	1980	21	Female	1	0.115382732	0.073901758	1980	0.926098242
Argentina	1980	21	Male	0	0.182756272		1980	
Argentina	1980	21	Male	1	0.052843825		1980	
Argentina	1980	22	Female	0	0.542751205	0.499517983	1980	0.500482017
Argentina	1980	22	Female	1	0.168905617	0.119166184	1980	0.880833816
Argentina	1980	22	Male	0	0.279497591		1980	
Argentina	1980	22	Male	1	0.095270044		1980	
Argentina	1980	23	Female	0	0.612389223	0.55574458	1980	0.44425542
Argentina	1980	23	Female	1	0.239989085	0.172453783	1980	0.827546217
Argentina	1980	23	Male	0	0.380870954		1980	
Argentina	1980	23	Male	1	0.127601703		1980	
Argentina	1980	24	Female	0	0.662685995	0.599876845	1980	0.400123155
Argentina	1980	24	Female	1	0.336478243	0.239121594	1980	0.760878406
Argentina	1980	24	Male	0	0.455962596		1980	
Argentina	1980	24	Male	1	0.21106907		1980	
Argentina	1991	12	Female	0	0		1990	
Argentina	1991	12	Female	1	3.09436E-06		1990	
Argentina	1991	12	Male	0	0.000343903		1990	
Argentina	1991	12	Male	1	0		1990	
Argentina	1991	13	Female	0	0.000265795		1990	
Argentina	1991	13	Female	1	7.54828E-05		1990	
Argentina	1991	13	Male	0	0		1990	
Argentina	1991	13	Male	1	3.37059E-05		1990	
Argentina	1991	14	Female	0	0.101492493	0.065650205	1990	0.934349795
Argentina	1991	14	Female	1	0.007494069	0.005906399	1990	0.994093601
Argentina	1991	14	Male	0	0.015684154		1990	
Argentina	1991	14	Male	1	0.003422464		1990	
Argentina	1991	15	Female	0	0.124124456	0.097403117	1990	0.902596883
Argentina	1991	15	Female	1	0.00787784	0.006965944	1990	0.993034056
Argentina	1991	15	Male	0	0.013746299		1990	
Argentina	1991	15	Male	1	0.002966654		1990	
Argentina	1991	16	Female	0	0.178959681	0.163373924	1990	0.836626076
Argentina	1991	16	Female	1	0.009929574	0.012151817	1990	0.987848183
Argentina	1991	16	Male	0	0.017242074		1990	
Argentina	1991	16	Male	1	0.003632692		1990	
Argentina	1991	17	Female	0	0.252337965	0.241786606	1990	0.758213394
Argentina	1991	17	Female	1	0.014954973	0.017331412	1990	0.982668588
Argentina	1991	17	Male	0	0.029839927		1990	
Argentina	1991	17	Male	1	0.004394806		1990	
Argentina	1991	18	Female	0	0.313450372	0.299681949	1990	0.700318051
Argentina	1991	18	Female	1	0.02489398	0.030410139	1990	0.969589861
Argentina	1991	18	Male	0	0.063010307		1990	
Argentina	1991	18	Male	1	0.007497932		1990	
Argentina	1991	19	Female	0	0.376425592	0.358680891	1990	0.641319109
Argentina	1991	19	Female	1	0.041641191	0.042422277	1990	0.957577723
Argentina	1991	19	Male	0	0.104210301		1990	
Argentina	1991	19	Male	1	0.016084607		1990	
Argentina	1991	20	Female	0	0.442766768	0.427128133	1990	0.572871867
Argentina	1991	20	Female	1	0.072086697	0.06156395	1990	0.93843605
Argentina	1991	20	Male	0	0.159714476		1990	
Argentina	1991	20	Male	1	0.026095626		1990	
Argentina	1991	21	Female	0	0.50182157	0.475923274	1990	0.524076726
Argentina	1991	21	Female	1	0.102745463	0.082438849	1990	0.917561151
Argentina	1991	21	Male	0	0.24018305		1990	
Argentina	1991	21	Male	1	0.039169897		1990	
Argentina	1991	22	Female	0	0.560472266	0.525179189	1990	0.474820811
Argentina	1991	22	Female	1	0.136719016	0.104858596	1990	0.895141404
Argentina	1991	22	Male	0	0.3026367		1990	
Argentina	1991	22	Male	1	0.069683206		1990	
Argentina	1991	23	Female	0	0.609447825	0.559112566	1990	0.440887434
Argentina	1991	23	Female	1	0.208682804	0.140950393	1990	0.859049607
Argentina	1991	23	Male	0	0.38609456		1990	
Argentina	1991	23	Male	1	0.109117678		1990	
