"country"	"YEAR"	"AGE"	"SEX"	"prop_union"	"prop_childless"	"prop_school"	"round"	"with_child"
"Armenia"	"2001"	"12"	"Male"	"."	"."	"0.9859281437"	"2000"	"."
"Armenia"	"2001"	"12"	"Female"	"."	"."	"0.9867571059"	"2000"	"."
"Armenia"	"2001"	"13"	"Male"	"."	"."	"0.9792312461"	"2000"	"."
"Armenia"	"2001"	"13"	"Female"	"."	"."	"0.9884121516"	"2000"	"."
"Armenia"	"2001"	"14"	"Male"	"."	"."	"0.9567172569"	"2000"	"."
"Armenia"	"2001"	"14"	"Female"	"."	"."	"0.9704087858"	"2000"	"."
"Armenia"	"2001"	"15"	"Male"	"0.0023557126"	"."	"0.898409894"	"2000"	"."
"Armenia"	"2001"	"15"	"Female"	"0.0072202166"	"0.9969915764"	"0.9410348977"	"2000"	"0.0030084236"
"Armenia"	"2001"	"16"	"Male"	"0.0017467249"	"."	"0.7094614265"	"2000"	"."
"Armenia"	"2001"	"16"	"Female"	"0.0128767925"	"0.9923909862"	"0.7755340942"	"2000"	"0.0076090138"
"Armenia"	"2001"	"17"	"Male"	"0.0054254712"	"."	"0.3515134209"	"2000"	"."
"Armenia"	"2001"	"17"	"Female"	"0.0381846635"	"0.9809076682"	"0.4841940532"	"2000"	"0.0190923318"
"Armenia"	"2001"	"18"	"Male"	"0.0070175439"	"."	"0.2647527911"	"2000"	"."
"Armenia"	"2001"	"18"	"Female"	"0.099871959"	"0.9513444302"	"0.4641485275"	"2000"	"0.0486555698"
"Armenia"	"2001"	"19"	"Male"	"0.01521528"	"."	"0.2136613791"	"2000"	"."
"Armenia"	"2001"	"19"	"Female"	"0.169579288"	"0.8961165049"	"0.3977346278"	"2000"	"0.1038834951"
"Armenia"	"2001"	"20"	"Male"	"0.0324214792"	"."	"0.2144545762"	"2000"	"."
"Armenia"	"2001"	"20"	"Female"	"0.2829431438"	"0.8127090301"	"0.2906354515"	"2000"	"0.1872909699"
"Armenia"	"2001"	"21"	"Male"	"0.0848320326"	"."	"0.1584662369"	"2000"	"."
"Armenia"	"2001"	"21"	"Female"	"0.3665720369"	"0.7100780696"	"0.1820440028"	"2000"	"0.2899219304"
"Armenia"	"2001"	"22"	"Male"	"0.1418466121"	"."	"0.1187639613"	"2000"	"."
"Armenia"	"2001"	"22"	"Female"	"0.4247232472"	"0.6114391144"	"0.1073800738"	"2000"	"0.3885608856"
"Armenia"	"2001"	"23"	"Male"	"0.2333736397"	"."	"0.0830310359"	"2000"	"."
"Armenia"	"2001"	"23"	"Female"	"0.5068226121"	"0.5076023392"	"0.0615984405"	"2000"	"0.4923976608"
"Armenia"	"2001"	"24"	"Male"	"0.3098891731"	"."	"0.0626598465"	"2000"	"."
"Armenia"	"2001"	"24"	"Female"	"0.5836734694"	"0.4244897959"	"0.0440816327"	"2000"	"0.5755102041"
"Argentina"	"2001"	"12"	"Male"	"0.0004120556"	"."	"0.9741287968"	"2000"	"."
"Argentina"	"2001"	"12"	"Female"	"0.0003036837"	"."	"0.9789850891"	"2000"	"."
"Argentina"	"2001"	"13"	"Male"	"0.0003526611"	"."	"0.9508919388"	"2000"	"."
"Argentina"	"2001"	"13"	"Female"	"0.0012423866"	"."	"0.9598800036"	"2000"	"."
"Argentina"	"2001"	"14"	"Male"	"0.0054373383"	"."	"0.9105337409"	"2000"	"."
"Argentina"	"2001"	"14"	"Female"	"0.010375584"	"0.9721497482"	"0.929100176"	"2000"	"0.0278502518"
"Argentina"	"2001"	"15"	"Male"	"0.0054913728"	"."	"0.8433908477"	"2000"	"."
"Argentina"	"2001"	"15"	"Female"	"0.0195317276"	"0.9633206994"	"0.8768798142"	"2000"	"0.0366793006"
"Argentina"	"2001"	"16"	"Male"	"0.0076546424"	"."	"0.7709185571"	"2000"	"."
"Argentina"	"2001"	"16"	"Female"	"0.0425281506"	"0.9324702589"	"0.8128379668"	"2000"	"0.0675297411"
"Argentina"	"2001"	"17"	"Male"	"0.0139616056"	"."	"0.700999524"	"2000"	"."
"Argentina"	"2001"	"17"	"Female"	"0.0737744545"	"0.8877429336"	"0.7512489122"	"2000"	"0.1122570664"
"Argentina"	"2001"	"18"	"Male"	"0.0329017998"	"."	"0.560909378"	"2000"	"."
"Argentina"	"2001"	"18"	"Female"	"0.1207491375"	"0.8271398061"	"0.6065056678"	"2000"	"0.1728601939"
"Argentina"	"2001"	"19"	"Male"	"0.0589272457"	"."	"0.4348243009"	"2000"	"."
"Argentina"	"2001"	"19"	"Female"	"0.1759985069"	"0.7617892248"	"0.4847579943"	"2000"	"0.2382107752"
"Argentina"	"2001"	"20"	"Male"	"0.101996595"	"."	"0.3565701904"	"2000"	"."
"Argentina"	"2001"	"20"	"Female"	"0.2314585142"	"0.6943135309"	"0.4308570011"	"2000"	"0.3056864691"
"Argentina"	"2001"	"21"	"Male"	"0.1530698319"	"."	"0.3099656564"	"2000"	"."
"Argentina"	"2001"	"21"	"Female"	"0.2850857502"	"0.6360779384"	"0.3803238454"	"2000"	"0.3639220616"
"Argentina"	"2001"	"22"	"Male"	"0.2076777077"	"."	"0.2712300251"	"2000"	"."
"Argentina"	"2001"	"22"	"Female"	"0.3473622182"	"0.5865459169"	"0.3293738176"	"2000"	"0.4134540831"
"Argentina"	"2001"	"23"	"Male"	"0.2677660981"	"."	"0.2401334424"	"2000"	"."
"Argentina"	"2001"	"23"	"Female"	"0.4035919182"	"0.5296208531"	"0.2910014966"	"2000"	"0.4703791469"
"Argentina"	"2001"	"24"	"Male"	"0.3297801907"	"."	"0.213949947"	"2000"	"."
"Argentina"	"2001"	"24"	"Female"	"0.4602899876"	"0.491215466"	"0.250244922"	"2000"	"0.508784534"
"Austria"	"2001"	"12"	"Male"	"."	"."	"0.9993967424"	"2000"	"."
"Austria"	"2001"	"12"	"Female"	"."	"."	"0.9989139878"	"2000"	"."
"Austria"	"2001"	"13"	"Male"	"."	"."	"0.997311828"	"2000"	"."
"Austria"	"2001"	"13"	"Female"	"."	"."	"0.9993370166"	"2000"	"."
"Austria"	"2001"	"14"	"Male"	"."	"."	"0.998729621"	"2000"	"."
"Austria"	"2001"	"14"	"Female"	"."	"."	"0.9971553611"	"2000"	"."
"Austria"	"2001"	"15"	"Male"	"0.0004130525"	"."	"0.8661710037"	"2000"	"."
"Austria"	"2001"	"15"	"Female"	"."	"."	"0.9160608063"	"2000"	"."
"Austria"	"2001"	"16"	"Male"	"0.00061212"	"."	"0.5435625383"	"2000"	"."
"Austria"	"2001"	"16"	"Female"	"0.003008165"	"0.9976364418"	"0.702406532"	"2000"	"0.0023635582"
"Austria"	"2001"	"17"	"Male"	"0.0006289308"	"."	"0.4402515723"	"2000"	"."
"Austria"	"2001"	"17"	"Female"	"0.0100925147"	"0.9861227923"	"0.6158536585"	"2000"	"0.0138772077"
"Austria"	"2001"	"18"	"Male"	"0.006481669"	"."	"0.3690500304"	"2000"	"."
"Austria"	"2001"	"18"	"Female"	"0.0374064838"	"0.969035744"	"0.5241064007"	"2000"	"0.030964256"
"Austria"	"2001"	"19"	"Male"	"0.0172277228"	"."	"0.2774257426"	"2000"	"."
"Austria"	"2001"	"19"	"Female"	"0.0793874673"	"0.9490227685"	"0.4255490631"	"2000"	"0.0509772315"
"Austria"	"2001"	"20"	"Male"	"0.0387174834"	"."	"0.2139544263"	"2000"	"."
"Austria"	"2001"	"20"	"Female"	"0.1305434104"	"0.9154694982"	"0.3266708307"	"2000"	"0.0845305018"
"Austria"	"2001"	"21"	"Male"	"0.0743541273"	"."	"0.2052089897"	"2000"	"."
"Austria"	"2001"	"21"	"Female"	"0.1983009166"	"0.8660854013"	"0.268052761"	"2000"	"0.1339145987"
"Austria"	"2001"	"22"	"Male"	"0.1144739551"	"."	"0.1984764258"	"2000"	"."
"Austria"	"2001"	"22"	"Female"	"0.2386290149"	"0.8191420565"	"0.2310842854"	"2000"	"0.1808579435"
"Austria"	"2001"	"23"	"Male"	"0.1509556907"	"."	"0.1802780191"	"2000"	"."
"Austria"	"2001"	"23"	"Female"	"0.3007388092"	"0.7757496741"	"0.1944806606"	"2000"	"0.2242503259"
"Austria"	"2001"	"24"	"Male"	"0.2029918969"	"."	"0.1724496156"	"2000"	"."
"Austria"	"2001"	"24"	"Female"	"0.3739872068"	"0.7194029851"	"0.1590618337"	"2000"	"0.2805970149"
"Burkina Faso"	"1998"	"15"	"Male"	"0.0114583625"	"."	"0.1778625204"	"2000"	"."
"Burkina Faso"	"1998"	"15"	"Female"	"0.0692637996"	"0.9752181729"	"0.0996571848"	"2000"	"0.0247818271"
"Burkina Faso"	"1998"	"16"	"Male"	"0.0067540664"	"."	"0.1709201809"	"2000"	"."
"Burkina Faso"	"1998"	"16"	"Female"	"0.1302286323"	"0.9429240641"	"0.0991695066"	"2000"	"0.0570759359"
"Burkina Faso"	"1998"	"17"	"Male"	"0.0109273639"	"."	"0.1428046881"	"2000"	"."
"Burkina Faso"	"1998"	"17"	"Female"	"0.3641519276"	"0.8650500126"	"0.0730075621"	"2000"	"0.1349499874"
"Burkina Faso"	"1998"	"18"	"Male"	"0.0385220252"	"."	"0.1414824201"	"2000"	"."
"Burkina Faso"	"1998"	"18"	"Female"	"0.5673226357"	"0.6347454932"	"0.0746389961"	"2000"	"0.3652545068"
"Burkina Faso"	"1998"	"19"	"Male"	"0.0597000656"	"."	"0.0835433674"	"2000"	"."
"Burkina Faso"	"1998"	"19"	"Female"	"0.74183016"	"0.4577352538"	"0.0474365312"	"2000"	"0.5422647462"
"Burkina Faso"	"1998"	"20"	"Male"	"0.106698846"	"."	"0.1279912237"	"2000"	"."
"Burkina Faso"	"1998"	"20"	"Female"	"0.8288999891"	"0.2728682144"	"0.0415506015"	"2000"	"0.7271317856"
"Burkina Faso"	"1998"	"21"	"Male"	"0.1072216668"	"."	"0.0739859992"	"2000"	"."
"Burkina Faso"	"1998"	"21"	"Female"	"0.8590098416"	"0.1776520588"	"0.0390185234"	"2000"	"0.8223479412"
"Burkina Faso"	"1998"	"22"	"Male"	"0.2107182684"	"."	"0.0746993271"	"2000"	"."
"Burkina Faso"	"1998"	"22"	"Female"	"0.9027706798"	"0.1206224075"	"0.0280710996"	"2000"	"0.8793775925"
"Burkina Faso"	"1998"	"23"	"Male"	"0.3196010853"	"."	"0.0793427401"	"2000"	"."
"Burkina Faso"	"1998"	"23"	"Female"	"0.9409661879"	"0.0783891909"	"0.0113832781"	"2000"	"0.9216108091"
"Burkina Faso"	"1998"	"24"	"Male"	"0.3856801037"	"."	"0.0641044198"	"2000"	"."
"Burkina Faso"	"1998"	"24"	"Female"	"0.9103697118"	"0.0880093072"	"0.0141315868"	"2000"	"0.9119906928"
"Benin"	"2006"	"12"	"Male"	"0.0017719703"	"."	"0.7342410145"	"2000"	"."
"Benin"	"2006"	"12"	"Female"	"0.001692259"	"."	"0.6143369767"	"2000"	"."
"Benin"	"2006"	"13"	"Male"	"0.0033012283"	"."	"0.7302619926"	"2000"	"."
"Benin"	"2006"	"13"	"Female"	"0.0068405459"	"."	"0.5862898689"	"2000"	"."
"Benin"	"2006"	"14"	"Male"	"0.0047563171"	"."	"0.737482238"	"2000"	"."
"Benin"	"2006"	"14"	"Female"	"0.0092026502"	"."	"0.5631754545"	"2000"	"."
"Benin"	"2006"	"15"	"Male"	"0.001419536"	"."	"0.6250113036"	"2000"	"."
"Benin"	"2006"	"15"	"Female"	"0.0511091822"	"0.9640997873"	"0.5126465613"	"2000"	"0.0359002127"
"Benin"	"2006"	"16"	"Male"	"0.004877264"	"."	"0.6839923979"	"2000"	"."
"Benin"	"2006"	"16"	"Female"	"0.0736276836"	"0.9459574201"	"0.5042463024"	"2000"	"0.0540425799"
"Benin"	"2006"	"17"	"Male"	"0.0157127265"	"."	"0.610612877"	"2000"	"."
"Benin"	"2006"	"17"	"Female"	"0.1905586767"	"0.8400116411"	"0.4078175025"	"2000"	"0.1599883589"
"Benin"	"2006"	"18"	"Male"	"0.0254823889"	"."	"0.5380981368"	"2000"	"."
"Benin"	"2006"	"18"	"Female"	"0.3644086087"	"0.7126021028"	"0.281559703"	"2000"	"0.2873978972"
"Benin"	"2006"	"19"	"Male"	"0.0320026346"	"."	"0.5870506577"	"2000"	"."
"Benin"	"2006"	"19"	"Female"	"0.4188952083"	"0.6304593647"	"0.2947190432"	"2000"	"0.3695406353"
"Benin"	"2006"	"20"	"Male"	"0.1068102882"	"."	"0.4226436442"	"2000"	"."
"Benin"	"2006"	"20"	"Female"	"0.6547027247"	"0.3847496292"	"0.1248538198"	"2000"	"0.6152503708"
"Benin"	"2006"	"21"	"Male"	"0.1081706771"	"."	"0.4396581252"	"2000"	"."
"Benin"	"2006"	"21"	"Female"	"0.5167197581"	"0.4800760622"	"0.2032634851"	"2000"	"0.5199239378"
"Benin"	"2006"	"22"	"Male"	"0.2059615506"	"."	"0.3545563659"	"2000"	"."
"Benin"	"2006"	"22"	"Female"	"0.7186505543"	"0.2947996095"	"0.1098584382"	"2000"	"0.7052003905"
"Benin"	"2006"	"23"	"Male"	"0.2682375182"	"."	"0.291796892"	"2000"	"."
"Benin"	"2006"	"23"	"Female"	"0.744345495"	"0.2470190004"	"0.1000235027"	"2000"	"0.7529809996"
"Benin"	"2006"	"24"	"Male"	"0.3426817691"	"."	"0.2626594619"	"2000"	"."
"Benin"	"2006"	"24"	"Female"	"0.7843964355"	"0.206288432"	"0.0687605759"	"2000"	"0.793711568"
"Bolivia"	"2001"	"12"	"Male"	"0.0023923445"	"."	"0.9322782481"	"2000"	"."
"Bolivia"	"2001"	"12"	"Female"	"0.0034988823"	"."	"0.9090290602"	"2000"	"."
"Bolivia"	"2001"	"13"	"Male"	"0.00254229"	"."	"0.907108634"	"2000"	"."
"Bolivia"	"2001"	"13"	"Female"	"0.0027722772"	"."	"0.8726732673"	"2000"	"."
"Bolivia"	"2001"	"14"	"Male"	"0.0031118249"	"."	"0.8579602489"	"2000"	"."
"Bolivia"	"2001"	"14"	"Female"	"0.0035410765"	"."	"0.8133346823"	"2000"	"."
"Bolivia"	"2001"	"15"	"Male"	"0.0109481293"	"."	"0.8064413265"	"2000"	"."
"Bolivia"	"2001"	"15"	"Female"	"0.0312332296"	"0.9646587744"	"0.761189224"	"2000"	"0.0353412256"
"Bolivia"	"2001"	"16"	"Male"	"0.0135427336"	"."	"0.7484920906"	"2000"	"."
"Bolivia"	"2001"	"16"	"Female"	"0.0636280557"	"0.9195723684"	"0.6922549692"	"2000"	"0.0804276316"
"Bolivia"	"2001"	"17"	"Male"	"0.0259237537"	"."	"0.6171260997"	"2000"	"."
"Bolivia"	"2001"	"17"	"Female"	"0.124910693"	"0.8362068966"	"0.5714455823"	"2000"	"0.1637931034"
"Bolivia"	"2001"	"18"	"Male"	"0.0563085399"	"."	"0.4067217631"	"2000"	"."
"Bolivia"	"2001"	"18"	"Female"	"0.2004379899"	"0.7282349434"	"0.3400184417"	"2000"	"0.2717650566"
"Bolivia"	"2001"	"19"	"Male"	"0.0996538081"	"."	"0.2417161227"	"2000"	"."
"Bolivia"	"2001"	"19"	"Female"	"0.2689935866"	"0.6345739772"	"0.1932659102"	"2000"	"0.3654260228"
"Bolivia"	"2001"	"20"	"Male"	"0.1752146947"	"."	"0.1377624046"	"2000"	"."
"Bolivia"	"2001"	"20"	"Female"	"0.3544549926"	"0.5252998759"	"0.119638568"	"2000"	"0.4747001241"
"Bolivia"	"2001"	"21"	"Male"	"0.2471580023"	"."	"0.0922212288"	"2000"	"."
"Bolivia"	"2001"	"21"	"Female"	"0.4073937153"	"0.4630105684"	"0.085150955"	"2000"	"0.5369894316"
"Bolivia"	"2001"	"22"	"Male"	"0.3208965063"	"."	"0.0723796968"	"2000"	"."
"Bolivia"	"2001"	"22"	"Female"	"0.4766026847"	"0.3920503289"	"0.0671183039"	"2000"	"0.6079496711"
"Bolivia"	"2001"	"23"	"Male"	"0.4040351107"	"."	"0.0617057513"	"2000"	"."
"Bolivia"	"2001"	"23"	"Female"	"0.5355558372"	"0.3379907783"	"0.0632526302"	"2000"	"0.6620092217"
"Bolivia"	"2001"	"24"	"Male"	"0.4774512656"	"."	"0.0570264766"	"2000"	"."
"Bolivia"	"2001"	"24"	"Female"	"0.5879037801"	"0.2861262902"	"0.0630927835"	"2000"	"0.7138737098"
"Brazil"	"2000"	"12"	"Male"	"0.0015296953"	"."	"0.9521939088"	"2000"	"."
"Brazil"	"2000"	"12"	"Female"	"0.0033317211"	"0.9978432681"	"0.9600428273"	"2000"	"0.0021567319"
"Brazil"	"2000"	"13"	"Male"	"0.001432656"	"."	"0.9368175002"	"2000"	"."
"Brazil"	"2000"	"13"	"Female"	"0.0079956723"	"0.9965680852"	"0.9408250969"	"2000"	"0.0034319148"
"Brazil"	"2000"	"14"	"Male"	"0.0013914855"	"."	"0.9036494639"	"2000"	"."
"Brazil"	"2000"	"14"	"Female"	"0.022510483"	"0.9890370039"	"0.9058103612"	"2000"	"0.0109629961"
"Brazil"	"2000"	"15"	"Male"	"0.0026161101"	"."	"0.849400049"	"2000"	"."
"Brazil"	"2000"	"15"	"Female"	"0.0508197887"	"0.966607961"	"0.8519771841"	"2000"	"0.033392039"
"Brazil"	"2000"	"16"	"Male"	"0.0086046588"	"."	"0.7852487375"	"2000"	"."
"Brazil"	"2000"	"16"	"Female"	"0.0965493463"	"0.9234981396"	"0.7855743297"	"2000"	"0.0765018604"
"Brazil"	"2000"	"17"	"Male"	"0.0217561304"	"."	"0.6961170956"	"2000"	"."
"Brazil"	"2000"	"17"	"Female"	"0.15220908"	"0.861698227"	"0.6996915164"	"2000"	"0.138301773"
"Brazil"	"2000"	"18"	"Male"	"0.0491757817"	"."	"0.5525702319"	"2000"	"."
"Brazil"	"2000"	"18"	"Female"	"0.2148718979"	"0.7912416845"	"0.5430690626"	"2000"	"0.2087583155"
"Brazil"	"2000"	"19"	"Male"	"0.0919922575"	"."	"0.4326088793"	"2000"	"."
"Brazil"	"2000"	"19"	"Female"	"0.277159738"	"0.718697389"	"0.4361495136"	"2000"	"0.281302611"
"Brazil"	"2000"	"20"	"Male"	"0.1528849436"	"."	"0.3463228765"	"2000"	"."
"Brazil"	"2000"	"20"	"Female"	"0.3446599432"	"0.6426500882"	"0.3509408664"	"2000"	"0.3573499118"
"Brazil"	"2000"	"21"	"Male"	"0.2190394669"	"."	"0.2814309783"	"2000"	"."
"Brazil"	"2000"	"21"	"Female"	"0.4041655522"	"0.5775450929"	"0.2961058518"	"2000"	"0.4224549071"
"Brazil"	"2000"	"22"	"Male"	"0.2900693355"	"."	"0.2316706034"	"2000"	"."
"Brazil"	"2000"	"22"	"Female"	"0.460296793"	"0.5187337885"	"0.2510627849"	"2000"	"0.4812662115"
"Brazil"	"2000"	"23"	"Male"	"0.3590209955"	"."	"0.1908675254"	"2000"	"."
"Brazil"	"2000"	"23"	"Female"	"0.5094880757"	"0.461845092"	"0.204881878"	"2000"	"0.538154908"
"Brazil"	"2000"	"24"	"Male"	"0.4275820889"	"."	"0.159702162"	"2000"	"."
