"country"	"YEAR"	"AGE"	"SEX"	"SCHOOL"	"prop_union2"	"prop_child2"	"round"	"childless2"
"Armenia"	"2001"	"12"	"Male"	"0"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"12"	"Male"	"1"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"12"	"Female"	"0"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"12"	"Female"	"1"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"13"	"Male"	"0"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"13"	"Male"	"1"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"13"	"Female"	"0"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"13"	"Female"	"1"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"14"	"Male"	"0"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"14"	"Male"	"1"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"14"	"Female"	"0"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"14"	"Female"	"1"	"0"	"."	"2000"	"."
"Armenia"	"2001"	"15"	"Male"	"0"	"0.0028985507"	"."	"2000"	"."
"Armenia"	"2001"	"15"	"Male"	"1"	"0.0022943297"	"."	"2000"	"."
"Armenia"	"2001"	"15"	"Female"	"0"	"0.0816326531"	"0.0204081633"	"2000"	"0.9795918367"
"Armenia"	"2001"	"15"	"Female"	"1"	"0.0025575448"	"0.0019181586"	"2000"	"0.9980818414"
"Armenia"	"2001"	"16"	"Male"	"0"	"0.00501002"	"."	"2000"	"."
"Armenia"	"2001"	"16"	"Male"	"1"	"0.0004103406"	"."	"2000"	"."
"Armenia"	"2001"	"16"	"Female"	"0"	"0.0508474576"	"0.0247718383"	"2000"	"0.9752281617"
"Armenia"	"2001"	"16"	"Female"	"1"	"0.0018867925"	"0.0026415094"	"2000"	"0.9973584906"
"Armenia"	"2001"	"17"	"Male"	"0"	"0.0070453545"	"."	"2000"	"."
"Armenia"	"2001"	"17"	"Male"	"1"	"0.0024370431"	"."	"2000"	"."
"Armenia"	"2001"	"17"	"Female"	"0"	"0.0655339806"	"0.0327669903"	"2000"	"0.9672330097"
"Armenia"	"2001"	"17"	"Female"	"1"	"0.0090497738"	"0.0045248869"	"2000"	"0.9954751131"
"Armenia"	"2001"	"18"	"Male"	"0"	"0.0073752711"	"."	"2000"	"."
"Armenia"	"2001"	"18"	"Male"	"1"	"0.0060240964"	"."	"2000"	"."
"Armenia"	"2001"	"18"	"Female"	"0"	"0.1666666667"	"0.0854241338"	"2000"	"0.9145758662"
"Armenia"	"2001"	"18"	"Female"	"1"	"0.0227586207"	"0.0062068966"	"2000"	"0.9937931034"
"Armenia"	"2001"	"19"	"Male"	"0"	"0.014820914"	"."	"2000"	"."
"Armenia"	"2001"	"19"	"Male"	"1"	"0.0166666667"	"."	"2000"	"."
"Armenia"	"2001"	"19"	"Female"	"0"	"0.2487909726"	"0.1590542719"	"2000"	"0.8409457281"
"Armenia"	"2001"	"19"	"Female"	"1"	"0.0496338487"	"0.0203417413"	"2000"	"0.9796582587"
"Armenia"	"2001"	"20"	"Male"	"0"	"0.0305245056"	"."	"2000"	"."
"Armenia"	"2001"	"20"	"Male"	"1"	"0.0393700787"	"."	"2000"	"."
"Armenia"	"2001"	"20"	"Female"	"0"	"0.3630363036"	"0.2446958982"	"2000"	"0.7553041018"
"Armenia"	"2001"	"20"	"Female"	"1"	"0.087456847"	"0.0471806674"	"2000"	"0.9528193326"
"Armenia"	"2001"	"21"	"Male"	"0"	"0.0899193548"	"."	"2000"	"."
"Armenia"	"2001"	"21"	"Male"	"1"	"0.0578158458"	"."	"2000"	"."
"Armenia"	"2001"	"21"	"Female"	"0"	"0.421691974"	"0.3370932755"	"2000"	"0.6629067245"
"Armenia"	"2001"	"21"	"Female"	"1"	"0.1189083821"	"0.0779727096"	"2000"	"0.9220272904"
"Armenia"	"2001"	"22"	"Male"	"0"	"0.1508238276"	"."	"2000"	"."
"Armenia"	"2001"	"22"	"Male"	"1"	"0.0752351097"	"."	"2000"	"."
"Armenia"	"2001"	"22"	"Female"	"0"	"0.4551467549"	"0.4200082679"	"2000"	"0.5799917321"
"Armenia"	"2001"	"22"	"Female"	"1"	"0.1718213058"	"0.1271477663"	"2000"	"0.8728522337"
"Armenia"	"2001"	"23"	"Male"	"0"	"0.2421978022"	"."	"2000"	"."
"Armenia"	"2001"	"23"	"Male"	"1"	"0.1359223301"	"."	"2000"	"."
"Armenia"	"2001"	"23"	"Female"	"0"	"0.5301204819"	"0.5143331948"	"2000"	"0.4856668052"
"Armenia"	"2001"	"23"	"Female"	"1"	"0.1518987342"	"0.1582278481"	"2000"	"0.8417721519"
"Armenia"	"2001"	"24"	"Male"	"0"	"0.3160527513"	"."	"2000"	"."
"Armenia"	"2001"	"24"	"Male"	"1"	"0.2176870748"	"."	"2000"	"."
"Armenia"	"2001"	"24"	"Female"	"0"	"0.5990606319"	"0.5918018787"	"2000"	"0.4081981213"
"Armenia"	"2001"	"24"	"Female"	"1"	"0.25"	"0.2222222222"	"2000"	"0.7777777778"
"Argentina"	"2001"	"12"	"Male"	"0"	"0.0034129693"	"."	"2000"	"."
"Argentina"	"2001"	"12"	"Male"	"1"	"0.0003323564"	"."	"2000"	"."
"Argentina"	"2001"	"12"	"Female"	"0"	"0.0130057803"	"."	"2000"	"."
"Argentina"	"2001"	"12"	"Female"	"1"	"0.0000310203"	"."	"2000"	"."
"Argentina"	"2001"	"13"	"Male"	"0"	"0.0029922202"	"."	"2000"	"."
"Argentina"	"2001"	"13"	"Male"	"1"	"0.0002163432"	"."	"2000"	"."
"Argentina"	"2001"	"13"	"Female"	"0"	"0.0241691843"	"."	"2000"	"."
"Argentina"	"2001"	"13"	"Female"	"1"	"0.0002841178"	"."	"2000"	"."
"Argentina"	"2001"	"14"	"Male"	"0"	"0.01478318"	"."	"2000"	"."
"Argentina"	"2001"	"14"	"Male"	"1"	"0.0045190445"	"."	"2000"	"."
"Argentina"	"2001"	"14"	"Female"	"0"	"0.0710312366"	"0.0855798032"	"2000"	"0.9144201968"
"Argentina"	"2001"	"14"	"Female"	"1"	"0.0057469388"	"0.023444898"	"2000"	"0.976555102"
"Argentina"	"2001"	"15"	"Male"	"0"	"0.0136041387"	"."	"2000"	"."
"Argentina"	"2001"	"15"	"Male"	"1"	"0.0039849143"	"."	"2000"	"."
"Argentina"	"2001"	"15"	"Female"	"0"	"0.1142005958"	"0.1375372393"	"2000"	"0.8624627607"
"Argentina"	"2001"	"15"	"Female"	"1"	"0.0062395427"	"0.022518126"	"2000"	"0.977481874"
"Argentina"	"2001"	"16"	"Male"	"0"	"0.0188041126"	"."	"2000"	"."
"Argentina"	"2001"	"16"	"Male"	"1"	"0.004341534"	"."	"2000"	"."
"Argentina"	"2001"	"16"	"Female"	"0"	"0.1884772264"	"0.2370836166"	"2000"	"0.7629163834"
"Argentina"	"2001"	"16"	"Female"	"1"	"0.0089222822"	"0.0284886906"	"2000"	"0.9715113094"
"Argentina"	"2001"	"17"	"Male"	"0"	"0.0330043511"	"."	"2000"	"."
"Argentina"	"2001"	"17"	"Male"	"1"	"0.0058392178"	"."	"2000"	"."
"Argentina"	"2001"	"17"	"Female"	"0"	"0.2437159886"	"0.3268981601"	"2000"	"0.6731018399"
"Argentina"	"2001"	"17"	"Female"	"1"	"0.0175039684"	"0.0411858081"	"2000"	"0.9588141919"
"Argentina"	"2001"	"18"	"Male"	"0"	"0.0622033655"	"."	"2000"	"."
"Argentina"	"2001"	"18"	"Male"	"1"	"0.0099639721"	"."	"2000"	"."
"Argentina"	"2001"	"18"	"Female"	"0"	"0.2650300601"	"0.3513694055"	"2000"	"0.6486305945"
"Argentina"	"2001"	"18"	"Female"	"1"	"0.0271412319"	"0.0570453437"	"2000"	"0.9429546563"
