"country"	"YEAR"	"source"	"AGE"	"unionORchildren"	"unionANDchildren"	"perc_simult"
"Armenia"	"2001"	"3"	"15"	"12"	"2"	"0.1666666667"
"Armenia"	"2001"	"3"	"16"	"11"	"1"	"0.0909090909"
"Armenia"	"2001"	"3"	"17"	"20"	"1"	"0.05"
"Armenia"	"2001"	"3"	"18"	"40"	"2"	"0.05"
"Armenia"	"2001"	"3"	"19"	"67"	"19"	"0.2835820896"
"Armenia"	"2001"	"3"	"20"	"81"	"36"	"0.4444444444"
"Armenia"	"2001"	"3"	"21"	"68"	"33"	"0.4852941176"
"Armenia"	"2001"	"3"	"22"	"55"	"32"	"0.5818181818"
"Armenia"	"2001"	"3"	"23"	"34"	"15"	"0.4411764706"
"Armenia"	"2001"	"3"	"24"	"29"	"22"	"0.7586206897"
"Argentina"	"2001"	"3"	"14"	"822"	"72"	"0.0875912409"
"Argentina"	"2001"	"3"	"15"	"753"	"72"	"0.0956175299"
"Argentina"	"2001"	"3"	"16"	"864"	"92"	"0.1064814815"
"Argentina"	"2001"	"3"	"17"	"1176"	"192"	"0.1632653061"
"Argentina"	"2001"	"3"	"18"	"1271"	"283"	"0.2226593234"
"Argentina"	"2001"	"3"	"19"	"1431"	"381"	"0.2662473795"
"Argentina"	"2001"	"3"	"20"	"1677"	"474"	"0.282647585"
"Argentina"	"2001"	"3"	"21"	"1850"	"608"	"0.3286486486"
"Argentina"	"2001"	"3"	"22"	"1892"	"717"	"0.3789640592"
"Argentina"	"2001"	"3"	"23"	"2027"	"797"	"0.3931919092"
"Argentina"	"2001"	"3"	"24"	"2089"	"902"	"0.4317855433"
"Austria"	"2001"	"3"	"16"	"3"	"1"	"0.3333333333"
"Austria"	"2001"	"3"	"18"	"32"	"3"	"0.09375"
"Austria"	"2001"	"3"	"19"	"62"	"5"	"0.0806451613"
"Austria"	"2001"	"3"	"20"	"61"	"5"	"0.0819672131"
"Austria"	"2001"	"3"	"21"	"91"	"11"	"0.1208791209"
"Austria"	"2001"	"3"	"22"	"86"	"9"	"0.1046511628"
"Austria"	"2001"	"3"	"23"	"100"	"14"	"0.14"
"Austria"	"2001"	"3"	"24"	"107"	"16"	"0.1495327103"
"Benin"	"2006"	"1"	"16"	"7.571406"	"1.448846"	"0.1913575893"
"Benin"	"2006"	"1"	"17"	"8.220341"	"2.704761"	"0.3290327007"
"Benin"	"2006"	"1"	"18"	"6.919128"	"4.58462"	"0.6626008364"
"Benin"	"2006"	"1"	"19"	"11.082285"	"4.94172"	"0.4459116509"
"Benin"	"2006"	"1"	"20"	"11.40406"	"3.142431"	"0.2755537063"
"Benin"	"2006"	"1"	"21"	"6.400417"	"2.100708"	"0.3282142398"
"Benin"	"2006"	"1"	"22"	"10.136715"	"4.275907"	"0.4218237368"
"Benin"	"2006"	"1"	"23"	"15.400326"	"9.405364"	"0.6107249937"
"Benin"	"2006"	"1"	"24"	"4.628506"	"1.920694"	"0.414970619"
"Bolivia"	"2001"	"3"	"15"	"89"	"7"	"0.0786516854"
"Bolivia"	"2001"	"3"	"16"	"147"	"32"	"0.2176870748"
"Bolivia"	"2001"	"3"	"17"	"269"	"75"	"0.2788104089"
"Bolivia"	"2001"	"3"	"18"	"361"	"155"	"0.4293628809"
"Bolivia"	"2001"	"3"	"19"	"350"	"158"	"0.4514285714"
"Bolivia"	"2001"	"3"	"20"	"409"	"205"	"0.5012224939"
"Bolivia"	"2001"	"3"	"21"	"381"	"222"	"0.5826771654"
"Bolivia"	"2001"	"3"	"22"	"339"	"222"	"0.6548672566"
"Bolivia"	"2001"	"3"	"23"	"362"	"258"	"0.7127071823"
"Bolivia"	"2001"	"3"	"24"	"347"	"253"	"0.7291066282"
"Brazil"	"2000"	"3"	"12"	"159.37767458"	"13.381181772"	"0.0839589472"
"Brazil"	"2000"	"3"	"13"	"255.27604448"	"19.585710465"	"0.0767236523"
"Brazil"	"2000"	"3"	"14"	"757.94431807"	"80.72929086"	"0.1065108464"
"Brazil"	"2000"	"3"	"15"	"1795.1109269"	"285.88453551"	"0.159257309"
"Brazil"	"2000"	"3"	"16"	"3364.7236085"	"752.84916889"	"0.2237477001"
"Brazil"	"2000"	"3"	"17"	"5578.144015"	"1475.7606066"	"0.2645612237"
"Brazil"	"2000"	"3"	"18"	"6993.3100618"	"2183.3430332"	"0.3122045232"
"Brazil"	"2000"	"3"	"19"	"7016.3963749"	"2431.7837722"	"0.3465858601"
"Brazil"	"2000"	"3"	"20"	"7466.4004513"	"2911.6044373"	"0.3899609265"
"Brazil"	"2000"	"3"	"21"	"7270.4019142"	"2992.6428505"	"0.411620002"
"Brazil"	"2000"	"3"	"22"	"7487.8480575"	"3404.9578615"	"0.4547311638"
"Brazil"	"2000"	"3"	"23"	"7189.2047624"	"3453.5014209"	"0.4803732172"
"Brazil"	"2000"	"3"	"24"	"6743.3583229"	"3437.0564659"	"0.5096950661"
"Congo (Brazzaville)"	"2005"	"1"	"16"	"17.608476"	"5.499634"	"0.3123287898"
"Congo (Brazzaville)"	"2005"	"1"	"17"	"19.216491"	"5.136812"	"0.2673126951"
"Congo (Brazzaville)"	"2005"	"1"	"18"	"27.56267"	"2.848382"	"0.1033420202"
"Congo (Brazzaville)"	"2005"	"1"	"19"	"38.034801"	"7.271891"	"0.1911904574"
"Congo (Brazzaville)"	"2005"	"1"	"20"	"30.146852"	"14.205764"	"0.4712188191"
"Congo (Brazzaville)"	"2005"	"1"	"21"	"27.230226"	"8.344426"	"0.3064398364"
"Congo (Brazzaville)"	"2005"	"1"	"22"	"43.670246"	"17.683037"	"0.4049218546"
"Congo (Brazzaville)"	"2005"	"1"	"23"	"23.556436"	"7.188739"	"0.3051709096"
"Congo (Brazzaville)"	"2005"	"1"	"24"	"17.139854"	"3.410151"	"0.1989603295"
"Switzerland"	"2000"	"3"	"19"	"28"	"2"	"0.0714285714"
"Switzerland"	"2000"	"3"	"21"	"39"	"4"	"0.1025641026"
"Switzerland"	"2000"	"3"	"22"	"75"	"6"	"0.08"
"Switzerland"	"2000"	"3"	"23"	"69"	"9"	"0.1304347826"
"Switzerland"	"2000"	"3"	"24"	"92"	"6"	"0.0652173913"
"Cameroon"	"2004"	"1"	"16"	"15.52053"	"1.78704"	"0.1151403979"
"Cameroon"	"2004"	"1"	"17"	"27.20502"	"3.85338"	"0.141642241"
"Cameroon"	"2004"	"1"	"18"	"49.40814"	"7.02026"	"0.1420871136"
"Cameroon"	"2004"	"1"	"19"	"51.01839"	"13.02008"	"0.2552036628"
"Cameroon"	"2004"	"1"	"20"	"27.14787"	"4.43782"	"0.1634684415"
"Cameroon"	"2004"	"1"	"21"	"21.77178"	"5.50004"	"0.2526224314"
"Cameroon"	"2004"	"1"	"22"	"22.75784"	"5.21896"	"0.229325806"
"Cameroon"	"2004"	"1"	"23"	"18.152"	"4.55362"	"0.2508605112"
"Cameroon"	"2004"	"1"	"24"	"15.31363"	"1.61039"	"0.1051605661"
"Colombia"	"2005"	"3"	"12"	"50.048892401"	"2.890550672"	"0.0577545383"
"Colombia"	"2005"	"3"	"13"	"193.83280296"	"4.9999515041"	"0.0257951772"
"Colombia"	"2005"	"3"	"14"	"313.66079339"	"13.084012933"	"0.0417138935"
"Colombia"	"2005"	"3"	"15"	"577.05839663"	"55.004404281"	"0.09531861"
"Colombia"	"2005"	"3"	"16"	"934.46061842"	"162.59865992"	"0.1740026885"
"Colombia"	"2005"	"3"	"17"	"1473.255511"	"389.83228448"	"0.2646060249"
"Colombia"	"2005"	"3"	"18"	"1635.0463573"	"431.06139279"	"0.2636386368"
"Colombia"	"2005"	"3"	"19"	"1777.9839399"	"592.56585041"	"0.3332796417"
"Colombia"	"2005"	"3"	"20"	"2076.5708127"	"761.11250715"	"0.3665237431"
"Colombia"	"2005"	"3"	"21"	"2280.5635014"	"883.07162446"	"0.3872164156"
"Colombia"	"2005"	"3"	"22"	"2105.2215323"	"892.78810142"	"0.4240827332"
"Colombia"	"2005"	"3"	"23"	"2516.2367043"	"1131.6905838"	"0.4497552165"
"Colombia"	"2005"	"3"	"24"	"2404.9539599"	"1140.3484101"	"0.4741664203"
"Costa Rica"	"2000"	"3"	"14"	"20"	"1"	"0.05"
"Costa Rica"	"2000"	"3"	"15"	"45"	"11"	"0.2444444444"
"Costa Rica"	"2000"	"3"	"16"	"70"	"18"	"0.2571428571"
"Costa Rica"	"2000"	"3"	"17"	"101"	"24"	"0.2376237624"
"Costa Rica"	"2000"	"3"	"18"	"141"	"50"	"0.3546099291"
"Costa Rica"	"2000"	"3"	"19"	"201"	"78"	"0.3880597015"
