"country"	"YEAR"	"AGE"	"SEX"	"prop_childless_att"	"prop_school"
"Armenia"	"2001"	"12"	"Female"	"."	"0.9867571059"
"Armenia"	"2001"	"13"	"Female"	"."	"0.9884121516"
"Armenia"	"2001"	"14"	"Female"	"."	"0.9704087858"
"Armenia"	"2001"	"15"	"Female"	"0.9980818414"	"0.9410348977"
"Armenia"	"2001"	"16"	"Female"	"0.9973584906"	"0.7755340942"
"Armenia"	"2001"	"17"	"Female"	"0.9954751131"	"0.4841940532"
"Armenia"	"2001"	"18"	"Female"	"0.9937931034"	"0.4641485275"
"Armenia"	"2001"	"19"	"Female"	"0.9796582587"	"0.3977346278"
"Armenia"	"2001"	"20"	"Female"	"0.9528193326"	"0.2906354515"
"Armenia"	"2001"	"21"	"Female"	"0.9220272904"	"0.1820440028"
"Armenia"	"2001"	"22"	"Female"	"0.8728522337"	"0.1073800738"
"Armenia"	"2001"	"23"	"Female"	"0.8417721519"	"0.0615984405"
"Armenia"	"2001"	"24"	"Female"	"0.7777777778"	"0.0440816327"
"Argentina"	"2001"	"12"	"Female"	"."	"0.9789850891"
"Argentina"	"2001"	"13"	"Female"	"."	"0.9598800036"
"Argentina"	"2001"	"14"	"Female"	"0.976555102"	"0.929100176"
"Argentina"	"2001"	"15"	"Female"	"0.977481874"	"0.8768798142"
"Argentina"	"2001"	"16"	"Female"	"0.9715113094"	"0.8128379668"
"Argentina"	"2001"	"17"	"Female"	"0.9588141919"	"0.7512489122"
"Argentina"	"2001"	"18"	"Female"	"0.9429546563"	"0.6065056678"
"Argentina"	"2001"	"19"	"Female"	"0.9257571869"	"0.4847579943"
"Argentina"	"2001"	"20"	"Female"	"0.9018422568"	"0.4308570011"
"Argentina"	"2001"	"21"	"Female"	"0.8853387896"	"0.3803238454"
"Argentina"	"2001"	"22"	"Female"	"0.8633709981"	"0.3293738176"
"Argentina"	"2001"	"23"	"Female"	"0.8411014679"	"0.2910014966"
"Argentina"	"2001"	"24"	"Female"	"0.8043847057"	"0.250244922"
"Austria"	"2001"	"12"	"Female"	"."	"0.9989139878"
"Austria"	"2001"	"13"	"Female"	"."	"0.9993370166"
"Austria"	"2001"	"14"	"Female"	"."	"0.9971553611"
"Austria"	"2001"	"15"	"Female"	"."	"0.9160608063"
"Austria"	"2001"	"16"	"Female"	"0.9993881921"	"0.702406532"
"Austria"	"2001"	"17"	"Female"	"0.9965858655"	"0.6158536585"
"Austria"	"2001"	"18"	"Female"	"0.9936558287"	"0.5241064007"
"Austria"	"2001"	"19"	"Female"	"0.9872159091"	"0.4255490631"
"Austria"	"2001"	"20"	"Female"	"0.9859783301"	"0.3266708307"
"Austria"	"2001"	"21"	"Female"	"0.9724770642"	"0.268052761"
"Austria"	"2001"	"22"	"Female"	"0.9664179104"	"0.2310842854"
"Austria"	"2001"	"23"	"Female"	"0.9541899441"	"0.1944806606"
"Austria"	"2001"	"24"	"Female"	"0.9423592493"	"0.1590618337"
"Burkina Faso"	"1998"	"12"	"Female"	"."	"0.1994261634"
"Burkina Faso"	"1998"	"13"	"Female"	"."	"0.2030281608"
"Burkina Faso"	"1998"	"14"	"Female"	"."	"0.2017143101"
"Burkina Faso"	"1998"	"15"	"Female"	"1"	"0.0996571848"
"Burkina Faso"	"1998"	"16"	"Female"	"1"	"0.0991695066"
"Burkina Faso"	"1998"	"17"	"Female"	"1"	"0.0730075621"
"Burkina Faso"	"1998"	"18"	"Female"	"0.9707099578"	"0.0746389961"
"Burkina Faso"	"1998"	"19"	"Female"	"0.8078510492"	"0.0474365312"
"Burkina Faso"	"1998"	"20"	"Female"	"0.8297902369"	"0.0415506015"
"Burkina Faso"	"1998"	"21"	"Female"	"0.8095651659"	"0.0390185234"
"Burkina Faso"	"1998"	"22"	"Female"	"0.7081002749"	"0.0280710996"
"Burkina Faso"	"1998"	"23"	"Female"	"1"	"0.0113832781"
"Burkina Faso"	"1998"	"24"	"Female"	"0.6260517041"	"0.0141315868"
"Benin"	"2006"	"12"	"Female"	"."	"0.6143369767"
"Benin"	"2006"	"13"	"Female"	"."	"0.5862898689"
"Benin"	"2006"	"14"	"Female"	"."	"0.5631754545"
"Benin"	"2006"	"15"	"Female"	"0.9968901186"	"0.5126465613"
"Benin"	"2006"	"16"	"Female"	"0.979762307"	"0.5042463024"
"Benin"	"2006"	"17"	"Female"	"0.9754680821"	"0.4078175025"
"Benin"	"2006"	"18"	"Female"	"0.9714932006"	"0.281559703"
"Benin"	"2006"	"19"	"Female"	"0.9247647025"	"0.2947190432"
"Benin"	"2006"	"20"	"Female"	"0.9210027297"	"0.1248538198"
"Benin"	"2006"	"21"	"Female"	"0.9220907232"	"0.2032634851"
"Benin"	"2006"	"22"	"Female"	"0.9021515972"	"0.1098584382"
"Benin"	"2006"	"23"	"Female"	"0.7297590953"	"0.1000235027"
"Benin"	"2006"	"24"	"Female"	"0.8938658005"	"0.0687605759"
"Bolivia"	"2001"	"12"	"Female"	"."	"0.9090290602"
"Bolivia"	"2001"	"13"	"Female"	"."	"0.8726732673"
"Bolivia"	"2001"	"14"	"Female"	"."	"0.8133346823"
"Bolivia"	"2001"	"15"	"Female"	"0.9929223744"	"0.761189224"
"Bolivia"	"2001"	"16"	"Female"	"0.9802615933"	"0.6922549692"
"Bolivia"	"2001"	"17"	"Female"	"0.9518900344"	"0.5714455823"
"Bolivia"	"2001"	"18"	"Female"	"0.8742487286"	"0.3400184417"
"Bolivia"	"2001"	"19"	"Female"	"0.7608318891"	"0.1932659102"
"Bolivia"	"2001"	"20"	"Female"	"0.5804455446"	"0.119638568"
"Bolivia"	"2001"	"21"	"Female"	"0.4028021016"	"0.085150955"
"Bolivia"	"2001"	"22"	"Female"	"0.3173515982"	"0.0671183039"
"Bolivia"	"2001"	"23"	"Female"	"0.243559719"	"0.0632526302"
"Bolivia"	"2001"	"24"	"Female"	"0.1792207792"	"0.0630927835"
"Brazil"	"2000"	"12"	"Female"	"0.9994914782"	"0.9600428273"
"Brazil"	"2000"	"13"	"Female"	"0.9993474042"	"0.9408250969"
"Brazil"	"2000"	"14"	"Female"	"0.997215631"	"0.9058103612"
"Brazil"	"2000"	"15"	"Female"	"0.9904384229"	"0.8519771841"
"Brazil"	"2000"	"16"	"Female"	"0.9772646319"	"0.7855743297"
"Brazil"	"2000"	"17"	"Female"	"0.9550290346"	"0.6996915164"
"Brazil"	"2000"	"18"	"Female"	"0.923103861"	"0.5430690626"
"Brazil"	"2000"	"19"	"Female"	"0.8916223319"	"0.4361495136"
