"country"	"YEAR"	"AGE"	"SEX"	"prop_childless_att"	"prop_childless"
"Armenia"	"2001"	"15"	"Female"	"0.9980818414"	"0.9969915764"
"Armenia"	"2001"	"16"	"Female"	"0.9973584906"	"0.9923909862"
"Armenia"	"2001"	"17"	"Female"	"0.9954751131"	"0.9809076682"
"Armenia"	"2001"	"18"	"Female"	"0.9937931034"	"0.9513444302"
"Armenia"	"2001"	"19"	"Female"	"0.9796582587"	"0.8961165049"
"Armenia"	"2001"	"20"	"Female"	"0.9528193326"	"0.8127090301"
"Armenia"	"2001"	"21"	"Female"	"0.9220272904"	"0.7100780696"
"Armenia"	"2001"	"22"	"Female"	"0.8728522337"	"0.6114391144"
"Armenia"	"2001"	"23"	"Female"	"0.8417721519"	"0.5076023392"
"Armenia"	"2001"	"24"	"Female"	"0.7777777778"	"0.4244897959"
"Argentina"	"2001"	"14"	"Female"	"0.976555102"	"0.9721497482"
"Argentina"	"2001"	"15"	"Female"	"0.977481874"	"0.9633206994"
"Argentina"	"2001"	"16"	"Female"	"0.9715113094"	"0.9324702589"
"Argentina"	"2001"	"17"	"Female"	"0.9588141919"	"0.8877429336"
"Argentina"	"2001"	"18"	"Female"	"0.9429546563"	"0.8271398061"
"Argentina"	"2001"	"19"	"Female"	"0.9257571869"	"0.7617892248"
"Argentina"	"2001"	"20"	"Female"	"0.9018422568"	"0.6943135309"
"Argentina"	"2001"	"21"	"Female"	"0.8853387896"	"0.6360779384"
"Argentina"	"2001"	"22"	"Female"	"0.8633709981"	"0.5865459169"
"Argentina"	"2001"	"23"	"Female"	"0.8411014679"	"0.5296208531"
"Argentina"	"2001"	"24"	"Female"	"0.8043847057"	"0.491215466"
"Austria"	"2001"	"15"	"Female"	"."	"."
"Austria"	"2001"	"16"	"Female"	"0.9993881921"	"0.9976364418"
"Austria"	"2001"	"17"	"Female"	"0.9965858655"	"0.9861227923"
"Austria"	"2001"	"18"	"Female"	"0.9936558287"	"0.969035744"
"Austria"	"2001"	"19"	"Female"	"0.9872159091"	"0.9490227685"
