"country"	"YEAR"	"AGE"	"SEX"	"prop_union"	"prop_union_att"
"Armenia"	"2001"	"12"	"Male"	"."	"."
"Armenia"	"2001"	"12"	"Female"	"."	"."
"Armenia"	"2001"	"13"	"Male"	"."	"."
"Armenia"	"2001"	"13"	"Female"	"."	"."
"Armenia"	"2001"	"14"	"Male"	"."	"."
"Armenia"	"2001"	"14"	"Female"	"."	"."
"Armenia"	"2001"	"15"	"Male"	"0.0023557126"	"0.0026220911"
"Armenia"	"2001"	"15"	"Female"	"0.0072202166"	"0.0047953964"
"Armenia"	"2001"	"16"	"Male"	"0.0017467249"	"0.0020517029"
"Armenia"	"2001"	"16"	"Female"	"0.0128767925"	"0.0037735849"
"Armenia"	"2001"	"17"	"Male"	"0.0054254712"	"0.0040617384"
"Armenia"	"2001"	"17"	"Female"	"0.0381846635"	"0.0116354234"
"Armenia"	"2001"	"18"	"Male"	"0.0070175439"	"0.0144578313"
"Armenia"	"2001"	"18"	"Female"	"0.099871959"	"0.0275862069"
"Armenia"	"2001"	"19"	"Male"	"0.01521528"	"0.0196969697"
"Armenia"	"2001"	"19"	"Female"	"0.169579288"	"0.0602115541"
"Armenia"	"2001"	"20"	"Male"	"0.0324214792"	"0.042519685"
"Armenia"	"2001"	"20"	"Female"	"0.2829431438"	"0.0989643268"
"Armenia"	"2001"	"21"	"Male"	"0.0848320326"	"0.0620985011"
"Armenia"	"2001"	"21"	"Female"	"0.3665720369"	"0.1384015595"
"Armenia"	"2001"	"22"	"Male"	"0.1418466121"	"0.0846394984"
"Armenia"	"2001"	"22"	"Female"	"0.4247232472"	"0.1855670103"
"Armenia"	"2001"	"23"	"Male"	"0.2333736397"	"0.1504854369"
"Armenia"	"2001"	"23"	"Female"	"0.5068226121"	"0.2025316456"
"Armenia"	"2001"	"24"	"Male"	"0.3098891731"	"0.231292517"
"Armenia"	"2001"	"24"	"Female"	"0.5836734694"	"0.287037037"
"Argentina"	"2001"	"12"	"Male"	"0.0004120556"	"0.0003323564"
"Argentina"	"2001"	"12"	"Female"	"0.0003036837"	"0.0000310203"
"Argentina"	"2001"	"13"	"Male"	"0.0003526611"	"0.0002163432"
"Argentina"	"2001"	"13"	"Female"	"0.0012423866"	"0.0002841178"
"Argentina"	"2001"	"14"	"Male"	"0.0054373383"	"0.0171400904"
"Argentina"	"2001"	"14"	"Female"	"0.010375584"	"0.0182530612"
"Argentina"	"2001"	"15"	"Male"	"0.0054913728"	"0.0150145876"
"Argentina"	"2001"	"15"	"Female"	"0.0195317276"	"0.0177077524"
"Argentina"	"2001"	"16"	"Male"	"0.0076546424"	"0.0151551696"
"Argentina"	"2001"	"16"	"Female"	"0.0425281506"	"0.0212882523"
