"country"	"YEAR"	"AGE"	"withchild1"	"withchild2"	"prop_child"
"Armenia"	"2001"	"12"	"."	"."	"."
"Armenia"	"2001"	"13"	"."	"."	"."
"Armenia"	"2001"	"14"	"."	"."	"."
"Armenia"	"2001"	"15"	"0.0021551724"	"0.0018768769"	"0.0030084236"
"Armenia"	"2001"	"16"	"0.0055248619"	"0.0024301337"	"0.0076090138"
"Armenia"	"2001"	"17"	"0"	"0.004587156"	"0.0190923318"
"Armenia"	"2001"	"18"	"0"	"0.0062674095"	"0.0486555698"
"Armenia"	"2001"	"19"	"0"	"0.0204081633"	"0.1038834951"
"Armenia"	"2001"	"20"	"0"	"0.047235023"	"0.1872909699"
"Armenia"	"2001"	"21"	"."	"0.0779727096"	"0.2899219304"
"Armenia"	"2001"	"22"	"0"	"0.1275862069"	"0.3885608856"
"Armenia"	"2001"	"23"	"."	"0.1582278481"	"0.4923976608"
"Armenia"	"2001"	"24"	"1"	"0.2075471698"	"0.5755102041"
"Argentina"	"2001"	"12"	"."	"."	"."
"Argentina"	"2001"	"13"	"."	"."	"."
"Argentina"	"2001"	"14"	"0.0439448135"	"0.0220454863"	"0.0278502518"
"Argentina"	"2001"	"15"	"0.0483425414"	"0.0218495208"	"0.0366793006"
"Argentina"	"2001"	"16"	"0.0684410646"	"0.0280732276"	"0.0675297411"
"Argentina"	"2001"	"17"	"0.1518324607"	"0.0402716498"	"0.1122570664"
"Argentina"	"2001"	"18"	"0.237704918"	"0.0558433768"	"0.1728601939"
"Argentina"	"2001"	"19"	"0.1891891892"	"0.0717330011"	"0.2382107752"
"Argentina"	"2001"	"20"	"0.3455497382"	"0.0947099599"	"0.3056864691"
"Argentina"	"2001"	"21"	"0.3901098901"	"0.1106586826"	"0.3639220616"
"Argentina"	"2001"	"22"	"0.4957983193"	"0.1325588039"	"0.4134540831"
"Argentina"	"2001"	"23"	"0.4869565217"	"0.1548058147"	"0.4703791469"
"Argentina"	"2001"	"24"	"0.55"	"0.1899774625"	"0.508784534"
"Austria"	"2001"	"12"	"."	"."	"."
"Austria"	"2001"	"13"	"."	"."	"."
"Austria"	"2001"	"14"	"."	"."	"."
"Austria"	"2001"	"15"	"."	"."	"."
"Austria"	"2001"	"16"	"."	"."	"0.0023635582"
"Austria"	"2001"	"17"	"."	"."	"0.0138772077"
"Austria"	"2001"	"18"	"."	"."	"0.030964256"
"Austria"	"2001"	"19"	"."	"."	"0.0509772315"
"Austria"	"2001"	"20"	"."	"."	"0.0845305018"
"Austria"	"2001"	"21"	"."	"."	"0.1339145987"
"Austria"	"2001"	"22"	"."	"."	"0.1808579435"
"Austria"	"2001"	"23"	"."	"."	"0.2242503259"
