"1a","1b","2a","2b","3","4a","4b","5","6","7"
"Armenia","X","X","X","X","X","X","X","X","X","."
"Argentina","X","X","X","X","X","X","X","X","X","X"
"Burkina Faso","X","X","X","X","X","X","X","X","X","X"
"Benin","X","X","X","X","X","X","X","X","X","X"
"Bolivia","X","X","X","X","X","X","X","X","X","X"
"Brazil","X","X","X","X","X","X","X","X","X","X"
"Congo (Brazzaville)","X",".","X",".","X","X",".","X","X","X"
"Cote Ivoire","X",".","X",".","X","X",".","X","X","."
"Cameroon","X",".","X",".","X","X",".","X","X","X"
"Colombia","X","X","X","X","X","X","X","X","X","X"
"Costa Rica","X","X","X","X","X","X","X","X","X","X"
"Dominican Republic","X","X","X","X","X","X","X","X","X","X"
"Ecuador","X","X","X","X","X","X","X","X","X","X"
"Ethiopia","X",".","X",".","X","X",".","X","X","X"
"Gabon","X",".","X",".","X","X",".","X","X","X"
"Ghana","X","X","X","X","X","X","X","X","X","."
"Guinea","X",".","X",".","X","X",".","X","X","X"
"Guatemala","X",".","X",".","X","X",".","X","X","X"
"Honduras","X",".","X",".","X","X",".","X","X","X"
"Haiti","X",".","X",".","X","X",".","X","X","X"
"Hungary","X","X","X","X","X","X","X","X","X","X"
"India","X","X","X","X","X","X","X","X","X","X"
"Jamaica","X","X","X","X","X","X","X","X","X","X"
"Jordan","X","X","X","X","X","X","X","X","X","."
"Kenya","X","X","X","X","X","X","X","X","X","X"
"Kyrgyz Republic","X","X","X","X","X","X","X","X","X","."
"Cambodia","X","X","X","X","X","X","X","X","X","X"
"Kazakhstan","X",".","X",".","X","X",".","X","X","."
"Lesotho","X",".","X",".","X","X",".","X","X","X"
"Morocco","X","X","X","X","X","X","X","X","X","X"
"Madagascar","X",".","X",".","X","X",".","X","X","."
"Mali","X","X","X","X","X","X","X","X","X","X"
"Mongolia","X","X","X","X","X","X","X","X","X","X"
"Malawi","X","X","X","X","X","X","X","X","X","X"
"Mexico","X","X","X","X","X","X","X","X","X","X"
"Malaysia","X","X","X","X","X","X","X","X","X","."
"Mozambique","X",".","X",".","X","X",".","X","X","X"
"Namibia","X",".","X",".","X","X",".","X","X","X"
"Niger","X","X","X","X","X","X","X","X","X","."
"Nigeria","X",".","X",".","X","X",".","X","X","X"
"Nicaragua","X","X","X","X","X","X","X","X","X","X"
"Panama","X","X","X","X","X","X","X","X","X","X"
"Peru","X","X","X","X","X","X","X","X","X","X"
"Philipines","X","X","X","X","X","X","X","X","X","X"
"Puerto Rico","X","X","X","X","X","X","X","X","X","X"
"Portugal","X","X","X","X","X","X","X","X","X","X"
"Rwanda","X","X","X","X","X","X","X","X","X","X"
"Sierra Leone","X","X","X","X","X","X","X","X","X","X"
"Senegal","X","X","X","X","X","X","X","X","X","X"
"Chad","X",".","X",".","X","X",".","X","X","X"
"Togo","X",".","X",".","X","X",".","X","X","X"
"Tanzania","X","X","X","X","X","X","X","X","X","X"
"Uganda","X","X","X","X","X","X","X","X","X","X"
"Venezuela","X","X","X","X","X","X","X","X","X","X"
"Vietnam","X","X","X","X","X","X","X","X","X","X"
"South Africa","X","X","X","X","X","X","X","X","X","X"
"Zimbabwe","X",".","X",".","X","X",".","X","X","."
